team,year,league,wins,losses,ties,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
Show Biz Kitten,2023,MASTERS,7,7,0,138.1,93.85,112.85,89.7,118.9,111.3,125.7,138,131.15,130.9,88.25,106.85,108.3,87,111.2,110.25,98.3
FFUcked Up,2023,MASTERS,9,5,0,98.05,134.5,116,110.95,62.15,86.85,103.3,93.4,118.95,135.5,135.8,157.4,138.1,122.7,,104.55,120.7
TKO Blow,2023,MASTERS,6,8,0,109.5,132.25,150,131.75,110.85,101.2,103.9,106.2,107.25,80.05,126.15,112.8,136.7,104.75,129.35,112.75,
Dmandre161,2023,MASTERS,8,6,0,52.15,105.45,110.9,137.6,94.1,115.55,118.75,101.65,77.55,116.65,106.6,108.95,128.6,116.2,184.25,98.2,167.15
He Hate Me,2023,NATIONAL,5,9,0,115.6,104.4,112.65,135.8,102.2,85.45,111.15,140.3,98.35,94.95,133.5,117.1,98.55,120.3,,84.3,106.3
bstarrr,2023,NATIONAL,6,8,0,77.25,123.05,103.65,124.55,115.2,99.75,99.65,130.2,51.5,121.55,84.9,108.85,74.6,107.9,92,81.9,90.8
LegendsRise,2023,NATIONAL,9,5,0,137.25,116.9,150.15,78.35,123.7,77.65,87.7,104.8,131.6,141.7,113.85,126.45,161.55,122.15,,113.45,139.45
The Tooth Tuggers,2023,NATIONAL,7,7,0,69.2,123.2,105.05,104.8,105.3,82.7,93,120.4,133.25,73.25,103.05,92.75,134.1,119.2,128.4,121.45,136.25
The Gaston Ramblers,2023,NATIONAL,7,7,0,91.8,157.65,159.15,66.65,90.45,135.4,113.3,88.8,109.25,143.55,129.15,121,81.2,117.85,99.65,122.75,
The (Teddy) Bears,2023,NATIONAL,6,8,0,88.8,98.85,110.15,145.9,135.15,107.05,117.45,133.2,95.6,113,66.6,152.8,139.5,78.95,109.6,79.85,53
Nighthawks,2023,NATIONAL,8,6,0,84.6,114.55,121.25,127.85,131.35,116.3,110.15,147.25,123.65,120.6,89.6,133.5,117.9,79.75,106.45,106.95,124.05
CENATION,2023,NATIONAL,3,11,0,64.1,112.85,93.25,74.3,89.9,97.6,97.3,102.25,64.1,114.6,64.3,79.45,90.5,108.3,,134.95,72.05
Team Jacamart,2023,NATIONAL,8,6,0,108.15,109.45,125.6,125.2,93,71.55,123.45,102.95,83.5,78.85,157.3,112.65,98.1,100.1,82.65,122.4,
The Riveters,2023,NATIONAL,7,7,0,92.6,88.7,119.15,106.95,189.7,116.6,113.95,115.2,101.85,119.65,105.35,68.45,105.95,105.75,115.8,89.3,
"Blood, Sweat, and Beers",2023,NATIONAL,9,5,0,125.3,139.2,109.3,142.7,59.65,108.95,110.85,115.9,121,104.05,90.25,166.05,62.4,105.75,,146.75,138.05
Head Cow Always Grazing,2023,NATIONAL,9,5,0,101.35,101,101.25,137.55,139.65,116.55,114.65,138.1,133.35,107.55,128.3,124.3,140.9,102.15,88.4,115.85,
FFUcked Up,2024,PREMIER,5,9,0,128.6,136.6,57.85,87.65,85.65,99.95,102.65,128.6,144.3,94.85,144.9,115.7,102.25,139.65,95.95,172.8,82.75
The Minutemen,2024,PREMIER,10,4,0,108.8,134.9,118.6,181.4,141.1,146.75,131.05,143.2,193.35,104.5,127.75,137.55,132.6,113.5,,167.7,141.05
Circle City Phantoms,2024,PREMIER,8,6,0,124.1,141.05,160.75,115.75,120,84.55,177,115.4,133.8,99.9,139.95,159.8,88.55,116.65,92.65,139.45,
Act More Stupidly,2024,PREMIER,2,12,0,114.8,89.1,75.55,123.75,93.85,93.5,76.5,78.45,82.45,58.1,89.65,114.35,119.7,96.3,,123.4,82.8
El Guapo Puto,2024,PREMIER,10,4,0,136.6,117.05,151.95,107.7,136.25,158.05,124.25,134.45,171.85,99.1,112.3,141.45,129.1,205.6,,106.4,123
Johnkshire Cats,2024,PREMIER,7,7,0,102.75,101.45,131.9,149.85,119.3,117.1,70.9,139.05,116.45,92.75,177.45,123.85,144.05,170.4,143.4,154.4,
Malibu Leopards,2024,PREMIER,5,9,0,118.15,60.25,128.5,110.1,122.2,90.05,140.75,115.75,121.3,138.2,79.35,91.85,114.25,115.15,,96.55,138.7
Pottsville Maroons,2024,PREMIER,7,7,0,97.8,167.9,145.85,123.3,121.3,119.1,105.4,124.45,127.9,140.2,108.75,116.15,139.3,127.5,106.7,151.6,
Shton's Strikers,2024,PREMIER,8,6,0,148.15,139.25,89.75,105.8,124.75,108.65,53.4,170,140.6,88.9,148.7,116.65,116.3,108.65,151.5,132.9,111.15
Team Pancake,2024,PREMIER,5,9,0,101.25,119.65,127.55,106.45,126.35,100.95,108.6,124.7,100.05,90.5,133.9,121.35,127.4,102.3,123.05,104.45,163.75
CamDelphia,2024,PREMIER,9,5,0,127.3,123.5,130.2,126.1,106.2,146.6,142.95,149.5,130.85,130.8,123.65,108.3,125.15,140.45,113.45,118.1,
Fort Wayne Banana Bread,2024,PREMIER,8,6,0,87.8,110.45,110.55,100.1,166.75,149.1,132.1,166,128.9,194.8,160.05,123.25,168.2,165.1,149.7,171.65,142.35
Stark Direwolves,2024,MASTERS,7,7,0,114.55,93.65,137.85,110.15,128.4,89,110.35,115.25,146.95,89.05,154.15,177.85,131.1,120.05,137.6,158.95,
Indianapolis Aztecs,2024,MASTERS,6,8,0,89.7,106.8,111.05,89.8,130.95,102.1,150.55,113.75,99,140.4,126,117,115.75,93.65,95.4,112.7,105.25
Nighthawks,2024,MASTERS,9,5,0,153.1,126.85,84.25,150.4,138.4,151.1,127.8,155.6,131.4,99.4,115.45,137.75,137.7,96.9,,76.25,128.65
TKO Blow,2024,MASTERS,5,9,0,127.45,85.55,134.7,128.9,92.2,132.65,123.35,126.65,109.2,110.9,107.45,119.15,129.35,109.4,65.2,131.25,108.65
The Tooth Tuggers,2024,MASTERS,6,8,0,127.5,120.2,105.45,111.05,101.65,81.2,79,132.95,125.25,120.8,107.05,93.25,112.1,165.9,148.45,118.6,
LegendsRise,2024,MASTERS,5,9,0,113,106.2,127.35,104.3,125.6,109.4,105.05,133.1,116.65,103.7,115.6,103.95,118.55,129.25,,123.1,132.8
The Stallions,2024,MASTERS,8,6,0,118.8,153.1,157.7,116.85,91.9,118.05,49.4,141.5,122.35,82.9,115.25,147.85,141,119.4,141.2,183.4,156.05
Frank's Little Beauties,2024,MASTERS,7,7,0,114.75,183.95,86.3,105,147.3,97.85,153.8,146.8,139.9,146.85,98.55,107.55,175.65,121.65,164.6,156.45,170.35
Team Jacamart,2024,MASTERS,11,3,0,147.3,123.05,156.65,123.85,125.15,152.65,110.05,127.15,151.3,107.75,174.65,128.8,123.55,186.15,,158.4,107.15
Show Biz Kitten,2024,MASTERS,8,6,0,107.5,111.1,114.35,144.75,153,141.5,126.8,100.2,133.3,125.2,129.95,86.25,113,138.8,87.95,109.3,
"Blood, Sweat, and Beers",2024,MASTERS,4,10,0,102.8,97.95,116.15,92.15,101.55,112.35,98.05,125.05,102.35,118.6,137.9,86.3,128.5,181.8,,99.2,152.5
Raging Rhinos,2024,MASTERS,8,6,0,91.25,109.45,122.75,159.15,148.45,144.65,141.7,135.5,144.05,129.7,128.4,144.15,101.6,121.2,131.45,179.1,
Odin's Herr,2024,NATIONAL,10,4,0,153.9,83.45,161.65,166.1,134.85,156.35,106.35,137.75,123.45,126.4,130.5,132.8,132.2,141.5,,129,169.6
The Riveters,2024,NATIONAL,1,13,0,129.9,121.15,111.55,129.95,94.2,109.4,109.5,119,85.05,69.8,99.15,93.15,95.9,107,,52.5,104.05
Head Cow Always Grazing,2024,NATIONAL,8,6,0,117.2,128.4,131.05,93.1,131.65,112.4,133.85,137.05,100.6,137.5,155.2,107.95,133.95,131.05,138.3,149.4,136.65
Big Ten Bandits,2024,NATIONAL,5,9,0,78.45,114.45,111.1,114.2,103.75,142.85,82.85,135.4,131.15,122.45,85.75,109.15,134.2,116.2,133.3,161.05,
The (Teddy) Bears,2024,NATIONAL,6,8,0,137.8,119.25,102.2,146.15,113.75,99.6,94.4,130.6,122.9,89.6,160.35,77.55,112.8,66.5,132.8,97.95,
He Hate Me,2024,NATIONAL,8,6,0,94.55,140.35,101.95,124.35,131.6,95.8,106.95,138.05,132.45,71.55,171.05,128.05,114.25,147.35,97.55,129.2,
ChicagoPick6,2024,NATIONAL,9,5,0,119.45,105.85,135.85,81.35,131.95,135.15,124.5,120.4,148.6,116.05,123,117.55,119.2,146.1,86.35,128.2,
CENATION,2024,NATIONAL,4,10,0,107.8,77.5,87,112.6,113.7,150,105.95,82.4,113.75,144,99.4,73.3,117.45,94.45,,124,120.5
Bucky Badgers,2024,NATIONAL,12,2,0,121.95,150.95,148.5,110.6,133.8,132.05,150.95,152.55,171.2,106.6,142.95,188.05,162.85,129.35,,171.15,184.2
The Sha'Dynasty,2024,NATIONAL,8,6,0,101.95,147.45,117.8,116.6,122.2,109.25,124.7,142,106.2,145.75,141.15,96.05,142,168.75,109.6,157.3,123.85
Boca Ciega Banditos,2024,NATIONAL,7,7,0,104.8,97.7,93.75,81.45,125.15,97.4,90,152.75,119.45,106.6,84.85,103.55,117.75,154.8,114.2,130.2,98.75
Dark Knights,2024,NATIONAL,6,8,0,103.6,145.6,136.95,131.85,164.3,110.25,107.4,117.85,133.05,138.8,123.85,126.45,152.3,136.9,127.4,153.3,123.45
The Minutemen,2025,PREMIER,4,1,1,112.15,137.4,128.6,179.25,94.45,144.75,,,,,,,,,,,
El Guapo Puto,2025,PREMIER,1,5,0,103.9,102.45,130.7,120.8,108.4,76.25,,,,,,,,,,,
Team Jacamart,2025,PREMIER,3,3,0,129.95,101.5,123.5,165.45,108.75,132.35,,,,,,,,,,,
Circle City Phantoms,2025,PREMIER,3,3,0,118.35,117.75,81.75,108.65,129.05,161.2,,,,,,,,,,,
Shton's Strikers,2025,PREMIER,4,2,0,130.85,79.9,118.9,116.95,129,128.05,,,,,,,,,,,
Fort Wayne Banana Bread,2025,PREMIER,2,4,0,103.2,149.6,122,125.6,140.25,126.2,,,,,,,,,,,
CamDelphia,2025,PREMIER,2,3,1,110.6,111.15,118.3,127.8,144.2,144.75,,,,,,,,,,,
Team Pancake,2025,PREMIER,3,3,0,110.45,146.15,131.7,92.65,146.6,91.6,,,,,,,,,,,
Frank's Little Beauties,2025,PREMIER,4,2,0,140.5,118.9,151.55,115.55,149.75,91.5,,,,,,,,,,,
Johnkshire Cats,2025,PREMIER,4,2,0,97.95,149.8,116.1,123.85,129.7,132.2,,,,,,,,,,,
The Stallions,2025,PREMIER,4,2,0,98.7,107.05,120.55,173.05,169.25,121.95,,,,,,,,,,,
Pottsville Maroons,2025,PREMIER,1,5,0,79.45,140.6,106.75,130.9,103.75,87.45,,,,,,,,,,,
Show Biz Kitten,2025,MASTERS,1,5,0,140.9,81.75,87.5,107.7,135.45,84.95,,,,,,,,,,,
Raging Rhinos,2025,MASTERS,3,3,0,116,149.25,125.6,141.3,127.3,94.85,,,,,,,,,,,
FFUcked Up,2025,MASTERS,5,1,0,105.55,124.7,147.65,90.55,124.95,141.35,,,,,,,,,,,
He Hate Me,2025,MASTERS,4,2,0,82.35,127.5,116.9,114.9,140.7,143.25,,,,,,,,,,,
Odin's Herr,2025,MASTERS,2,4,0,103.15,136.6,142.2,153.75,112.7,132.9,,,,,,,,,,,
Act More Stupidly,2025,MASTERS,2,4,0,91.6,102.45,93.15,159.85,114.15,115.25,,,,,,,,,,,
Head Cow Always Grazing,2025,MASTERS,5,1,0,117.75,144.95,113.9,127.45,131.7,110.45,,,,,,,,,,,
Nighthawks,2025,MASTERS,2,4,0,110.75,96.4,173.15,107.1,122.7,114.75,,,,,,,,,,,
The Tooth Tuggers,2025,MASTERS,5,1,0,111.2,154.35,132.7,135.9,157.25,145.3,,,,,,,,,,,
The Sha'Dynasty,2025,MASTERS,1,5,0,96.8,99.3,82.05,154.55,96.5,112.6,,,,,,,,,,,
Stark Direwolves,2025,MASTERS,4,2,0,148.6,138.75,141.3,125.8,145.1,70.15,,,,,,,,,,,
Bucky Badgers,2025,MASTERS,2,4,0,146.9,90.7,131.25,140.25,137.65,120.3,,,,,,,,,,,
The Inferno Swarm,2025,NATIONAL,4,2,0,109.4,112.65,120.9,164.8,103,122.45,,,,,,,,,,,
The Underdogs,2025,NATIONAL,4,2,0,94.1,101.95,103.35,154.75,135.75,182.55,,,,,,,,,,,
Dawn Island Straw Hats,2025,NATIONAL,4,2,0,114.55,94.95,107.25,116.25,161.65,115,,,,,,,,,,,
Indianapolis Aztecs,2025,NATIONAL,0,6,0,113.5,101.45,106.8,105.6,120.65,75.85,,,,,,,,,,,
The Riveters,2025,NATIONAL,3,3,0,153.3,101.2,102.55,109.85,119.85,106.9,,,,,,,,,,,
The Steel Tigers,2025,NATIONAL,2,4,0,83.05,113.9,145.1,105,139,87.95,,,,,,,,,,,
Big Ten Bandits,2025,NATIONAL,4,2,0,126.9,114.45,101.5,133.3,136.1,134.25,,,,,,,,,,,
"Blood, Sweat, and Beers",2025,NATIONAL,2,4,0,110.8,130.7,107.15,122.4,125.5,100.4,,,,,,,,,,,
LegendsRise,2025,NATIONAL,5,1,0,113.45,174.25,144.3,126.75,127.6,133.85,,,,,,,,,,,
Dark Knights,2025,NATIONAL,2,4,0,90.8,130.05,108.7,116.3,137.4,99.95,,,,,,,,,,,
Boca Ciega Banditos,2025,NATIONAL,4,2,0,121.65,131.5,121.2,148.65,115,130.25,,,,,,,,,,,
Jawn of Arc,2025,NATIONAL,2,4,0,115.3,100.3,114.4,127.55,145.2,181,,,,,,,,,,,
