team,year,league,wins,losses,ties,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17
FFUcked Up,2019,PREMIER,2,11,0,75.45,105.05,121.75,80.95,92.65,90.45,94.3,125.95,67.5,96.2,98.1,78.45,85.75,86.45,102.05,84.8,
ChicagoPick6,2019,NATIONAL,7,6,0,168.2,104.2,176,135.35,120.2,126.8,54.45,120.85,137.8,87.15,87,93.55,88.2,135.55,116.85,116.75,
Gingy Flame,2019,NATIONAL,4,9,0,139.95,93.75,140.65,77.2,92.55,107,75.05,107.2,119.35,89.6,109.9,70.75,98.9,91.85,126,125.95,
Naptown Makos,2019,NATIONAL,10,3,0,115,147.65,98.3,77.35,118.85,94.75,104,102.95,156.05,114.3,115.7,87.85,131.05,,103.1,82.75,
The Losers,2019,NATIONAL,5,8,0,91.25,114,130.5,124,190.9,106.65,154.25,147.8,103.1,137.7,103.75,62.2,75.6,119.25,173.2,133.75,
Team Black Death,2019,NATIONAL,7,6,0,132.9,127.75,119.8,118.45,198.4,112.6,96.9,99.95,122.75,174.45,78.15,131.6,91.8,111,111.15,90.4,
El Guapo Puto,2019,NATIONAL,2,11,0,90.55,97.5,89.1,66.4,92.75,99.7,76.55,91.25,74.85,116.3,53.3,104.9,108,74.55,97.7,129.65,
Team Jacamart,2019,NATIONAL,6,7,0,126,125.1,93.75,130.15,102.7,132,87.75,94.65,91.85,159.25,112.4,136.15,102.55,83.55,142.6,145.1,
Speedway's Ritual Cog,2019,NATIONAL,7,6,0,70.8,85.05,80.3,89.25,156.75,63.3,117.1,116.6,94.45,93.6,130,112.95,105.25,154.55,92.5,79.5,
Indianapolis Aztecs,2019,NATIONAL,10,3,0,100.8,99.05,121.45,126.35,121.5,112.9,90.3,138.25,107,79.6,119.2,139.25,86.05,,137.65,83.6,
Circle City Phantoms,2019,NATIONAL,7,6,0,95.35,116.35,98.55,125.2,93.25,130.6,89.3,98.9,124.2,108,88.7,85.45,161.35,140.05,97.45,102.3,
Raging Rhinos,2019,NATIONAL,9,4,0,165.2,109.8,149.95,113.2,98.6,114.35,140.35,124.45,93.75,102.75,98,138.7,112.05,126.25,140.45,110.1,
Team Pancake,2019,NATIONAL,4,9,0,135.6,94.75,84.95,103.85,85.4,77.05,81.95,107.6,111.2,106.3,110.25,74.95,98.5,93.75,86.2,71.3,
Fort Wayne Banana Bread,2020,PREMIER,8,5,0,134.25,137.25,136.65,127.6,141.25,76.65,80.9,93.25,145.2,101,101,84.75,116.05,102.65,155.2,147.9,
Raging Rhinos,2020,PREMIER,4,9,0,115.25,96.35,124.95,124.65,84.25,123.3,109.85,63.05,73.45,101.05,84.9,153.95,100.7,107.4,71.2,135.1,
Naptown Makos,2020,PREMIER,7,6,0,151.7,137.9,95.95,139.8,75.65,81.65,143.5,107.95,121.7,96.7,108.85,85.7,79.35,83.9,113.25,101.05,
The Minutemen,2020,PREMIER,6,7,0,104.1,109.15,141.45,99.2,132.65,108.4,130.45,96.1,122.05,133.3,175,111.6,116.85,145.15,140,109.55,
Stone Cold Steve Irwins,2020,PREMIER,8,5,0,135.25,133.8,111.85,139.65,116.7,112.2,106.65,73.9,56.2,86.65,105.7,50.35,121.35,144.65,112.55,122.45,
Act More Stupidly,2020,PREMIER,5,8,0,93.45,128,142.25,126.15,115,82.05,92.3,110.1,73.2,73.95,74.8,122.4,123.7,132.55,157.4,124.6,
ChicagoPick6,2020,PREMIER,10,3,0,149.3,132,130.9,147.4,127.6,93.65,92.4,129.95,136.8,118.55,153.25,151.8,121.75,,104.6,122.25,
"Blood, Sweat, and Beers",2020,PREMIER,5,8,0,110.4,115,117.4,94.7,117.25,89.65,96.95,107.5,97.5,75.7,40.7,93.65,59.85,58.7,89.55,88.4,
Team Dogecoin,2020,PREMIER,7,6,0,133.5,113.5,79.65,108.55,119.95,105.7,142.35,73.05,112.45,128.15,143.45,150.95,137.05,99.9,110.15,92.75,
Speedway's Ritual Cog,2020,PREMIER,2,11,0,96.05,91.55,81.8,114.1,100.15,79.45,88.65,105.7,62.5,59.15,77.4,124.1,151.65,67.35,101.05,82.6,
The Stallions,2020,PREMIER,11,2,0,102.4,140.2,174.3,104.55,135.2,128.6,166.2,120.35,119.05,135.95,132.75,143.2,122.15,,131.4,194.45,
Indianapolis Aztecs,2020,PREMIER,5,8,0,75.1,109.1,95.15,120.15,95.25,94.65,147.65,90.3,108.15,69.4,120.85,95.8,94.6,106.25,114.05,82.3,
Big Ten Bandits,2020,NATIONAL,7,6,0,131.2,106.1,110.6,97.25,126.2,123.7,102.5,120.5,96.25,114.65,138.75,114.2,110.85,131.1,149.6,141.45,
Johnkshire Cats,2020,NATIONAL,7,6,0,79.6,142.15,134.85,76.35,108.4,143,95.9,99.35,97.9,79.25,105.7,122.85,109.35,96.7,92.65,111.35,
Team Jacamart,2020,NATIONAL,9,4,0,148.1,103.3,138.75,130.55,71.15,75.4,184.25,98.65,147.45,113.95,125.15,137.35,118.55,,105.35,88.75,
Shton's Strikers,2020,NATIONAL,4,9,0,100.5,133.6,94.9,148.6,103.1,112.25,57.1,57.1,75.7,98.7,157.05,94.75,137.15,90.25,56.15,130.5,
Dark Knights,2020,NATIONAL,5,8,0,128.95,121.05,108.2,124.35,121.25,95.15,90.95,76,106.15,115.75,96.9,121.6,109,102.45,132,91.6,
El Guapo Puto,2020,NATIONAL,6,7,0,124.4,102.8,119.75,99.2,95.75,124.65,176.7,94.35,105.3,126.9,102.05,97.3,76.45,126.7,102.35,112.75,
Team Pancake,2020,NATIONAL,8,5,0,138.5,123.05,84.6,116.9,86.45,112.9,94.85,139.3,186.15,96.5,136.6,97.3,138.95,159.55,131.45,149.25,
FFUcked Up,2020,NATIONAL,7,6,0,92.35,146.05,132.35,124.05,113.5,98.6,115.65,95.3,108.7,92.05,109.9,116.6,79.15,117.55,133.7,116.75,
