Week,Team,Score,Opponent,Score,Misc,Manage
Week 9,Team Dogecoin,112.45,Currier Island Raging ...,73.45,,
Week 9,The Minutemen,122.05,Wisconsian Banana Bread,145.2,,
Week 9,"Blood, Sweat and Beers",97.5,Stone Cold Steve Irwins,56.2,,
Week 8,Indianapolis Aztecs,90.3,The Minutemen,96.1,,
Week 8,Goat Emoji II,110.1,Chicago Pick 6s,129.95,,
Week 8,Naptown Makos,107.95,Wisconsian Banana Bread,93.25,,
Week 8,Team Dogecoin,73.05,The Stallions,120.35,,
Week 8,Currier Island Raging ...,63.05,Stone Cold Steve Irwins,73.9,,
Week 8,"Blood, Sweat and Beers",107.5,Speedway Ritual Cog,105.7,,
Week 7,Naptown Makos,143.5,Team Dogecoin,142.35,,
Week 7,Speedway Ritual Cog,88.65,Stone Cold Steve Irwins,106.65,,
Week 7,Chicago Pick 6s,92.4,The Stallions,166.2,,
Week 7,The Minutemen,130.45,Goat Emoji II,92.3,,
Week 7,"Blood, Sweat and Beers",96.95,Wisconsian Banana Bread,80.9,,
Week 7,Indianapolis Aztecs,147.65,Currier Island Raging ...,109.85,,
Week 6,Chicago Pick 6s,93.65,Naptown Makos,81.65,,
Week 6,Stone Cold Steve Irwins,112.2,Wisconsian Banana Bread,76.65,,
Week 6,The Stallions,128.6,Speedway Ritual Cog,79.45,,
Week 6,"Blood, Sweat and Beers",89.65,The Minutemen,108.4,,
Week 6,Team Dogecoin,105.7,Indianapolis Aztecs,94.65,,
Week 6,Goat Emoji II,82.05,Currier Island Raging ...,123.3,,
Week 5,Currier Island Raging ...,84.25,Speedway Ritual Cog,100.15,,
Week 5,Chicago Pick 6s,127.6,The Minutemen,132.65,,
Week 5,Indianapolis Aztecs,95.25,Stone Cold Steve Irwins,116.7,,
Week 5,Goat Emoji II,115,The Stallions,135.2,,
Week 5,"Blood, Sweat and Beers",117.25,Naptown Makos,75.65,,
Week 5,Team Dogecoin,119.95,Wisconsian Banana Bread,141.25,,
Week 4,Stone Cold Steve Irwins,139.65,The Minutemen,99.2,,
Week 4,Speedway Ritual Cog,114.1,Naptown Makos,139.8,,
Week 4,Goat Emoji II,126.15,Team Dogecoin,108.55,,
Week 4,Indianapolis Aztecs,120.15,Chicago Pick 6s,147.4,,
Week 4,Currier Island Raging ...,124.65,"Blood, Sweat and Beers",94.7,,
Week 4,Wisconsian Banana Bread,127.6,The Stallions,104.55,,
Week 3,The Stallions,174.3,"Blood, Sweat and Beers",117.4,,
Week 3,Chicago Pick 6s,130.9,Currier Island Raging ...,124.95,,
Week 3,Goat Emoji II,142.25,Naptown Makos,95.95,,
Week 3,The Minutemen,141.45,Speedway Ritual Cog,81.8,,
Week 3,Wisconsian Banana Bread,136.65,Indianapolis Aztecs,95.15,,
Week 3,Team Dogecoin,79.65,Stone Cold Steve Irwins,111.85,,
Week 2,Indianapolis Aztecs,109.1,"Blood, Sweat and Beers",115,,
Week 2,Currier Island Raging ...,96.35,The Stallions,140.2,,
Week 2,Stone Cold Steve Irwins,133.8,Naptown Makos,137.9,,
Week 2,Team Dogecoin,113.5,The Minutemen,109.15,,
Week 2,Chicago Pick 6s,132,Wisconsian Banana Bread,137.25,,
Week 2,Goat Emoji II,128,Speedway Ritual Cog,91.55,,
Week 1,Currier Island Raging ...,115.25,Wisconsian Banana Bread,134.25,,
Week 1,Naptown Makos,151.7,The Minutemen,104.1,,
Week 1,Stone Cold Steve Irwins,135.25,Goat Emoji II,93.45,,
Week 1,"Blood, Sweat and Beers",110.4,Chicago Pick 6s,149.3,,
Week 1,Speedway Ritual Cog,96.05,Team Dogecoin,133.5,,
Week 1,Indianapolis Aztecs,75.1,The Stallions,102.4,,
