Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,"Blood, Sweat and Beers",88.4,Currier Island Raging ...,135.1,,
Week 16,Indianapolis Aztecs,82.3,Speedway Ritual Cog,82.6,,
Week 16,The Minutemen,109.55,Goat Emoji II,124.6,,
Week 16,Team Dogecoin,92.75,Naptown Makos,101.05,,
Week 16,The Stallions,194.45,Chicago Pick 6s,122.25,,
Week 16,Stone Cold Steve Irwins,122.45,Wisconsian Banana Bread,147.9,,
Week 15,Currier Island Raging ...,71.2,Goat Emoji II,157.4,,
Week 15,"Blood, Sweat and Beers",89.55,Speedway Ritual Cog,101.05,,
Week 15,The Minutemen,140,Indianapolis Aztecs,114.05,,
Week 15,Naptown Makos,113.25,Team Dogecoin,110.15,,
Week 15,Chicago Pick 6s,104.6,Stone Cold Steve Irwins,112.55,,
Week 15,The Stallions,131.4,Wisconsian Banana Bread,155.2,,
Week 14,Wisconsian Banana Bread,102.65,Team Dogecoin,99.9,,
Week 14,Naptown Makos,83.9,Stone Cold Steve Irwins,144.65,,
Week 14,Goat Emoji II,132.55,The Minutemen,145.15,,
Week 14,"Blood, Sweat and Beers",58.7,Indianapolis Aztecs,106.25,,
Week 14,Speedway Ritual Cog,67.35,Currier Island Raging ...,107.4,,
Week 13,The Minutemen,116.85,Team Dogecoin,137.05,,
Week 13,Stone Cold Steve Irwins,121.35,The Stallions,122.15,,
Week 13,Naptown Makos,79.35,Goat Emoji II,123.7,,
Week 13,Speedway Ritual Cog,151.65,Wisconsian Banana Bread,116.05,,
Week 13,Chicago Pick 6s,121.75,Currier Island Raging ...,100.7,,
Week 13,"Blood, Sweat and Beers",59.85,Indianapolis Aztecs,94.6,,
Week 12,Chicago Pick 6s,151.8,Wisconsian Banana Bread,84.75,,
Week 12,The Minutemen,111.6,Currier Island Raging ...,153.95,,
Week 12,Team Dogecoin,150.95,Speedway Ritual Cog,124.1,,
Week 12,Naptown Makos,85.7,Stone Cold Steve Irwins,50.35,,
Week 12,Goat Emoji II,122.4,"Blood, Sweat and Beers",93.65,,
Week 12,The Stallions,143.2,Indianapolis Aztecs,95.8,,
Week 11,Goat Emoji II,74.8,Stone Cold Steve Irwins,105.7,,
Week 11,Currier Island Raging ...,84.9,Wisconsian Banana Bread,101,,
Week 11,The Stallions,132.75,"Blood, Sweat and Beers",40.7,,
Week 11,Indianapolis Aztecs,120.85,Naptown Makos,108.85,,
Week 11,Speedway Ritual Cog,77.4,The Minutemen,175,,
Week 11,Team Dogecoin,143.45,Chicago Pick 6s,153.25,,
Week 10,Speedway Ritual Cog,59.15,Indianapolis Aztecs,69.4,,
Week 10,Naptown Makos,96.7,Currier Island Raging ...,101.05,,
Week 10,Chicago Pick 6s,118.55,Stone Cold Steve Irwins,86.65,,
Week 10,Team Dogecoin,128.15,"Blood, Sweat and Beers",75.7,,
Week 10,Goat Emoji II,73.95,Wisconsian Banana Bread,101,,
Week 10,The Stallions,135.95,The Minutemen,133.3,,
Week 9,Chicago Pick 6s,136.8,Speedway Ritual Cog,62.5,,
Week 9,Indianapolis Aztecs,108.15,Goat Emoji II,73.2,,
Week 9,Naptown Makos,121.7,The Stallions,119.05,,
