Week,Team,Score,Opponent,Score,Misc,Manage
Week 2,Currier Island Raging ...,117.8,Indianapolis Aztecs,89,,
Week 2,Disney's PigskinSlingers,114.25,Not Your Average Joes,85.3,,
Week 2,El Guapo Puto,97.6,The Stallions,150.55,,
Week 2,The Losers,104.7,Durham Actually Ugly D...,123.4,,
Week 2,The Minutemen,124.75,Bailando Cabras,100.65,,
Week 2,FFUcked Up,131.65,"Blood, Sweat and Beers",135.75,,
Week 1,FFUcked Up,129.35,Indianapolis Aztecs,155.5,,
Week 1,Currier Island Raging ...,80.85,Not Your Average Joes,108.15,,
Week 1,El Guapo Puto,99.05,Durham Actually Ugly D...,133.4,,
Week 1,"Blood, Sweat and Beers",101.2,Disney's PigskinSlingers,127.45,,
Week 1,The Minutemen,125.8,The Losers,111.4,,
Week 1,Bailando Cabras,116.85,The Stallions,81.7,,
