Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,The Losers,140.65,Currier Island Raging ...,88.05,,
Week 16,El Guapo Puto,55,Indianapolis Aztecs,136.75,,
Week 16,Bailando Cabras,79.05,"Blood, Sweat and Beers",132.65,,
Week 16,The Stallions,135.6,Not Your Average Joes,95.2,,
Week 16,Durham Actually Ugly D...,160.2,FFUcked Up,96.6,,
Week 16,Disney's PigskinSlingers,95.3,The Minutemen,139,,
Week 15,"Blood, Sweat and Beers",98.25,Currier Island Raging ...,88.75,,
Week 15,Indianapolis Aztecs,116.1,The Losers,108.95,,
Week 15,Bailando Cabras,86.05,El Guapo Puto,58.05,,
Week 15,Not Your Average Joes,88.25,The Stallions,81.25,,
Week 15,The Minutemen,127.35,Durham Actually Ugly D...,116.3,,
Week 15,Disney's PigskinSlingers,101.55,FFUcked Up,91.9,,
Week 14,El Guapo Puto,98.9,Indianapolis Aztecs,75.05,,
Week 14,The Losers,88.2,Currier Island Raging ...,165.3,,
Week 14,Bailando Cabras,84.7,"Blood, Sweat and Beers",78.85,,
Week 14,Durham Actually Ugly D...,147.3,Not Your Average Joes,109.4,,
Week 14,FFUcked Up,127.15,The Stallions,121.25,,
Week 13,Indianapolis Aztecs,96.4,Durham Actually Ugly D...,124.95,,
Week 13,El Guapo Puto,71.55,The Stallions,116.9,,
Week 13,The Losers,100.35,Bailando Cabras,93.85,,
Week 13,"Blood, Sweat and Beers",108.35,The Minutemen,103.6,,
Week 13,FFUcked Up,119.2,Currier Island Raging ...,117.35,,
Week 13,Disney's PigskinSlingers,78.95,Not Your Average Joes,98,,
Week 12,Currier Island Raging ...,137.9,Indianapolis Aztecs,96.8,,
Week 12,The Stallions,152.25,FFUcked Up,129.35,,
Week 12,"Blood, Sweat and Beers",74.9,Disney's PigskinSlingers,124.6,,
Week 12,Not Your Average Joes,132.8,The Losers,87.7,,
Week 12,Bailando Cabras,88.75,The Minutemen,149.5,,
Week 12,El Guapo Puto,98.05,Durham Actually Ugly D...,110.5,,
Week 11,"Blood, Sweat and Beers",108.4,Not Your Average Joes,145.95,,
Week 11,Durham Actually Ugly D...,131.4,The Stallions,129.55,,
Week 11,The Minutemen,134.25,The Losers,78.75,,
Week 11,Disney's PigskinSlingers,78.05,Bailando Cabras,97.55,,
Week 11,FFUcked Up,152.75,Indianapolis Aztecs,145.8,,
Week 11,El Guapo Puto,95.3,Currier Island Raging ...,125.75,,
Week 10,Indianapolis Aztecs,122.05,The Losers,113.6,,
Week 10,Disney's PigskinSlingers,148.35,Durham Actually Ugly D...,118.65,,
Week 10,Currier Island Raging ...,129.4,The Minutemen,179.65,,
Week 10,Not Your Average Joes,121.3,El Guapo Puto,96.1,,
Week 10,The Stallions,152.95,"Blood, Sweat and Beers",123.95,,
Week 10,Bailando Cabras,85.6,FFUcked Up,104.55,,
Week 9,Bailando Cabras,119.4,"Blood, Sweat and Beers",117.75,,
Week 9,The Minutemen,128.05,Not Your Average Joes,93.25,,
Week 9,The Losers,107.45,Disney's PigskinSlingers,51.75,,
Week 9,Durham Actually Ugly D...,161.35,Currier Island Raging ...,116.1,,
Week 9,FFUcked Up,108.3,El Guapo Puto,163.3,,
Week 9,Indianapolis Aztecs,107.95,The Stallions,87.2,,
Week 8,"Blood, Sweat and Beers",148.75,El Guapo Puto,80.6,,
Week 8,Indianapolis Aztecs,123.65,Bailando Cabras,124,,
Week 8,Not Your Average Joes,93.25,Durham Actually Ugly D...,120.5,,
Week 8,Disney's PigskinSlingers,130.9,The Stallions,109.8,,
Week 8,The Minutemen,120.25,FFUcked Up,137.85,,
Week 8,The Losers,136.8,Currier Island Raging ...,125.5,,
Week 7,FFUcked Up,121.6,Disney's PigskinSlingers,128.15,,
Week 7,Bailando Cabras,100.6,El Guapo Puto,183.25,,
Week 7,The Minutemen,103.65,Durham Actually Ugly D...,99.95,,
Week 7,The Losers,78.5,The Stallions,106,,
Week 7,Not Your Average Joes,108.9,Indianapolis Aztecs,101.85,,
Week 7,"Blood, Sweat and Beers",84.6,Currier Island Raging ...,115.65,,
Week 6,Bailando Cabras,95.85,Currier Island Raging ...,94.6,,
Week 6,FFUcked Up,130.55,The Losers,100.6,,
Week 6,The Minutemen,112.45,Indianapolis Aztecs,99.65,,
Week 6,The Stallions,153.55,Not Your Average Joes,103.45,,
Week 6,Durham Actually Ugly D...,149.05,"Blood, Sweat and Beers",116.5,,
Week 6,El Guapo Puto,130.4,Disney's PigskinSlingers,95.25,,
Week 5,Currier Island Raging ...,83.85,The Stallions,153,,
Week 5,"Blood, Sweat and Beers",105.85,The Losers,75.9,,
Week 5,Durham Actually Ugly D...,124.95,FFUcked Up,137.55,,
Week 5,Not Your Average Joes,84.5,Bailando Cabras,109.15,,
Week 5,Disney's PigskinSlingers,108.35,The Minutemen,102.85,,
Week 5,El Guapo Puto,128.75,Indianapolis Aztecs,132.95,,
Week 4,The Minutemen,157.9,The Stallions,145.05,,
Week 4,FFUcked Up,159.8,Not Your Average Joes,77.6,,
Week 4,El Guapo Puto,134.2,The Losers,102.7,,
Week 4,Bailando Cabras,107.75,Durham Actually Ugly D...,163.9,,
Week 4,Disney's PigskinSlingers,144.9,Currier Island Raging ...,106.75,,
Week 4,Indianapolis Aztecs,93.35,"Blood, Sweat and Beers",104.8,,
Week 3,"Blood, Sweat and Beers",125.1,Not Your Average Joes,129.95,,
Week 3,The Minutemen,86.8,El Guapo Puto,103.65,,
Week 3,The Stallions,101.1,Durham Actually Ugly D...,80.9,,
Week 3,Bailando Cabras,128.2,The Losers,136.85,,
Week 3,Disney's PigskinSlingers,122.5,Indianapolis Aztecs,94.45,,
Week 3,FFUcked Up,141,Currier Island Raging ...,61.65,,
