Week,Team,Score,Opponent,Score,Misc,Manage
Week 7,Great Team Name,80.35,Oklahoma Banana Bread,112.25,,Open options
Week 7,Team Dogecoin,104.7,CreamOfTheCrop Macho Men,95.45,,Open options
Week 7,Team Black Death,113.55,Goat Emoji,113.6,,Open options
Week 7,Speedway's Ritual Cog,93.2,Team Painter Pick 6,81.05,,Open options
Week 7,Stark Direwolves,138.6,Team Team Casa,138,,Open options
Week 6,CreamOfTheCrop Macho Men,109,Goat Emoji,82.6,,Open options
Week 6,Great Team Name,161.25,Gingy Flame,120.45,,Open options
Week 6,Oklahoma Banana Bread,149.25,Team Dogecoin,113.15,,Open options
Week 6,Team Team Casa,143.7,Team Painter Pick 6,100.6,,Open options
Week 6,Stark Direwolves,73.65,The Well Done Stakes,135.55,,Open options
Week 6,Team Black Death,125.45,Speedway's Ritual Cog,108.95,,Open options
Week 5,Team Black Death,97.05,Gingy Flame,113.85,,Open options
Week 5,CreamOfTheCrop Macho Men,103.45,Stark Direwolves,77.65,,Open options
Week 5,Great Team Name,110.25,Speedway's Ritual Cog,122.1,,Open options
Week 5,Team Dogecoin,115.45,Team Team Casa,93.75,,Open options
Week 5,Team Painter Pick 6,96.7,Oklahoma Banana Bread,142.2,,Open options
Week 5,Goat Emoji,97.7,The Well Done Stakes,153.45,,Open options
Week 4,Team Black Death,142,Team Team Casa,139.1,,Open options
Week 4,Great Team Name,123.75,Stark Direwolves,144.3,,Open options
Week 4,Speedway's Ritual Cog,158,CreamOfTheCrop Macho Men,112.7,,Open options
Week 4,Gingy Flame,140.95,Team Dogecoin,89.9,,Open options
Week 4,The Well Done Stakes,168.25,Team Painter Pick 6,77.95,,Open options
Week 4,Oklahoma Banana Bread,94.7,Goat Emoji,105.8,,Open options
Week 3,Great Team Name,108.5,Goat Emoji,110.35,,Open options
Week 3,Team Team Casa,120.1,Oklahoma Banana Bread,107.35,,Open options
Week 3,Team Black Death,95.4,Stark Direwolves,144.05,,Open options
Week 3,CreamOfTheCrop Macho Men,103.15,Gingy Flame,90,,Open options
Week 3,The Well Done Stakes,130.8,Speedway's Ritual Cog,96.65,,Open options
Week 3,Team Painter Pick 6,101.75,Team Dogecoin,122.7,,Open options
Week 2,Team Painter Pick 6,107.65,Gingy Flame,141.95,,Open options
Week 2,Oklahoma Banana Bread,122.15,Team Black Death,118.95,,Open options
Week 2,CreamOfTheCrop Macho Men,99.3,The Well Done Stakes,110.25,,Open options
Week 2,Team Team Casa,97.5,Great Team Name,107.1,,Open options
Week 2,Stark Direwolves,99.8,Goat Emoji,123.6,,Open options
Week 2,Team Dogecoin,121.2,Speedway's Ritual Cog,116.6,,Open options
Week 1,Gingy Flame,81.8,Speedway's Ritual Cog,106.35,,Open options
Week 1,Oklahoma Banana Bread,149.4,Stark Direwolves,145.85,,Open options
Week 1,Great Team Name,116.45,Team Black Death,126.5,,Open options
Week 1,Goat Emoji,95.7,Team Team Casa,101.7,,Open options
Week 1,CreamOfTheCrop Macho Men,109.25,Team Painter Pick 6,113.25,,Open options
Week 1,Team Dogecoin,128.65,The Well Done Stakes,130.55,,Open options
