Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,Speedway's Ritual Cog,119.05,Team Painter Pick 6,94.4,,Open options
Week 16,Gingy Flame,74.4,Team Black Death,144.05,,Open options
Week 16,Great Team Name,100.95,Team Team Casa,77.05,,Open options
Week 16,CreamOfTheCrop Macho Men,98.9,Stark Direwolves,158.9,,Open options
Week 16,The Well Done Stakes,102.1,Team Dogecoin,113.55,,Open options
Week 16,Oklahoma Banana Bread,122.7,Goat Emoji,134.25,,Open options
Week 15,Speedway's Ritual Cog,61.65,Team Team Casa,74.65,,Open options
Week 15,Team Painter Pick 6,83.25,Team Black Death,85.05,,Open options
Week 15,Great Team Name,87.35,Gingy Flame,62.6,,Open options
Week 15,Stark Direwolves,96.85,CreamOfTheCrop Macho Men,89.85,,Open options
Week 15,Oklahoma Banana Bread,127.2,Team Dogecoin,85.9,,Open options
Week 15,The Well Done Stakes,88.55,Goat Emoji,123.65,,Open options
Week 14,Gingy Flame,130,Team Painter Pick 6,94.05,,Open options
Week 14,Team Team Casa,80.25,Team Black Death,59.5,,Open options
Week 14,Great Team Name,136.6,Speedway's Ritual Cog,94.9,,Open options
Week 14,CreamOfTheCrop Macho Men,104.95,Team Dogecoin,118.35,,Open options
Week 14,Goat Emoji,112,Stark Direwolves,90.6,,Open options
Week 13,Stark Direwolves,90.85,Team Painter Pick 6,101.4,,Open options
Week 13,Goat Emoji,105.45,Great Team Name,112.25,,Open options
Week 13,Speedway's Ritual Cog,148.95,Team Dogecoin,93.6,,Open options
Week 13,The Well Done Stakes,132,Team Team Casa,90.4,,Open options
Week 13,Oklahoma Banana Bread,112.05,Team Black Death,105.05,,Open options
Week 13,Gingy Flame,70.05,CreamOfTheCrop Macho Men,103.35,,Open options
Week 12,Great Team Name,108.75,Team Team Casa,107.8,,Open options
Week 12,Gingy Flame,134.1,Team Painter Pick 6,117.95,,Open options
Week 12,Goat Emoji,140.25,Speedway's Ritual Cog,109.1,,Open options
Week 12,Team Black Death,101,CreamOfTheCrop Macho Men,114.85,,Open options
Week 12,The Well Done Stakes,92.7,Team Dogecoin,111.55,,Open options
Week 12,Stark Direwolves,135.1,Oklahoma Banana Bread,105.4,,Open options
Week 11,Oklahoma Banana Bread,122.6,Gingy Flame,113.9,,Open options
Week 11,Great Team Name,146.25,Team Dogecoin,106.15,,Open options
Week 11,Speedway's Ritual Cog,91.8,The Well Done Stakes,122.45,,Open options
Week 11,CreamOfTheCrop Macho Men,132.35,Team Painter Pick 6,112.25,,Open options
Week 11,Stark Direwolves,116.25,Team Black Death,65.4,,Open options
Week 11,Team Team Casa,112.3,Goat Emoji,114.55,,Open options
Week 10,Team Painter Pick 6,118.15,Goat Emoji,112.65,,Open options
Week 10,Stark Direwolves,169.3,Team Dogecoin,80.05,,Open options
Week 10,Gingy Flame,137.7,Team Team Casa,82.95,,Open options
Week 10,Speedway's Ritual Cog,52.85,Oklahoma Banana Bread,115.25,,Open options
Week 10,Team Black Death,94.3,The Well Done Stakes,115.85,,Open options
Week 10,Great Team Name,115.8,CreamOfTheCrop Macho Men,124.1,,Open options
Week 9,Great Team Name,95.6,The Well Done Stakes,138.45,,Open options
Week 9,Stark Direwolves,167.05,Gingy Flame,83.85,,Open options
Week 9,CreamOfTheCrop Macho Men,103.35,Oklahoma Banana Bread,133.45,,Open options
Week 9,Team Team Casa,134.65,Speedway's Ritual Cog,90,,Open options
Week 9,Goat Emoji,126.65,Team Dogecoin,86.65,,Open options
Week 9,Team Black Death,54.2,Team Painter Pick 6,113.1,,Open options
Week 8,Gingy Flame,55.3,Goat Emoji,99.6,,Open options
Week 8,Great Team Name,111,Team Painter Pick 6,119.8,,Open options
Week 8,Oklahoma Banana Bread,87.2,The Well Done Stakes,137.75,,Open options
Week 8,Team Black Death,90.85,Team Dogecoin,134.95,,Open options
Week 8,Stark Direwolves,111.35,Speedway's Ritual Cog,106.75,,Open options
Week 8,CreamOfTheCrop Macho Men,154.4,Team Team Casa,140.35,,Open options
Week 7,Gingy Flame,100.35,The Well Done Stakes,135.15,,Open options
