Team,Member,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Wisconsian Banana Bread,bread,---,8-5,"1,475.80","1,468.35",3,1,,
Stone Cold Steve Irwins,scsi,---,8-5,"1,350.25","1,232.50",4,2,,
The Stallions,stallions,---,11-2,"1,724.90","1,289.20",1,3,,
Chicago Pick 6s,picks,---,10-3,"1,685.35","1,461.40",2,4,,
Naptown Makos,makos,---,7-6,"1,426.40","1,455.75",6,5,,
Team Dogecoin,doge,---,7-6,"1,548.30","1,486.30",5,6,,
Goat Emoji II,swaggy,---,5-8,"1,357.35","1,438.05",8,7,,
The Minutemen,mmen,---,6-7,"1,580.30","1,536.05",7,8,,
Speedway Ritual Cog,cog,---,2-11,"1,232.25","1,617.95",12,9,,
Indianapolis Aztecs,aztecs,---,5-8,"1,316.15","1,374.05",9,10,,
Currier Island Raging Rhinos,rhinos,---,4-9,"1,355.70","1,447.30",11,11,,
"Blood, Sweat and Beers",beers,---,5-8,"1,216.25","1,462.10",10,12,,
