Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Aaron Rodgers · QB · (GB),Great Team Name,,,,
1.2 (2),Patrick Mahomes · QB · (KC),Elm Street Skywalkers,,,,
1.3 (3),Ezekiel Elliott · RB · (DAL),Team Black Death,,,,
1.4 (4),Tom Brady · QB · (TB),Frank's Little Beauties,,,,
1.5 (5),Derrick Henry · RB · (TEN),Big Ten Bandits,,,,
1.6 (6),Dalvin Cook · RB · (MIN),Team Pancake,,,,
1.7 (7),Michael Thomas · WR · (NO),Brown Town,,,,
1.8 (8),Deshaun Watson · QB · (HOU),Purple Parade,,,,
1.9 (9),Clyde Edwards-Helaire · RB · (KC),El Guapo Puto,,,,
1.10 (10),DeSean Jackson · WR · (PHI),FFUcked Up,,,,
1.11 (11),Nick Chubb · RB · (CLE),Johnkshire Cats,,,,
1.12 (12),Drew Brees · QB · (NO),Always Sunny in Camdel...,,,,
2.1 (13),Joe Mixon · RB · (CIN),Always Sunny in Camdel...,,,,
2.2 (14),Kenyan Drake · RB · (ARI),Johnkshire Cats,,,,
2.3 (15),Miles Sanders · RB · (CAR),FFUcked Up,,,,
2.4 (16),DeAndre Hopkins · WR · (ARI),El Guapo Puto,,,,
2.5 (17),Josh Jacobs · RB · (LV),Purple Parade,,,,
2.6 (18),Julio Jones · WR · (ATL),Brown Town,,,,
2.7 (19),Travis Kelce · TE · (KC),Team Pancake,,,,
2.8 (20),Mike Evans · WR · (TB),Big Ten Bandits,,,,
2.9 (21),Alvin Kamara · RB · (NO),Frank's Little Beauties,,,,
2.10 (22),Tyreek Hill · WR · (KC),Team Black Death,,,,
2.11 (23),Saquon Barkley · RB · (NYG),Elm Street Skywalkers,,,,
2.12 (24),Christian McCaffrey · RB · (CAR),Great Team Name,,,,
3.1 (25),Antonio Gibson · RB · (WAS),Great Team Name,,,,
3.2 (26),David Montgomery · RB · (CHI),Elm Street Skywalkers,,,,
3.3 (27),Lamar Jackson · QB · (BAL),Team Black Death,,,,
3.4 (28),Chris Carson · RB · (SEA),Frank's Little Beauties,,,,
3.5 (29),Adam Thielen · WR · (MIN),Big Ten Bandits,,,,
3.6 (30),David Johnson · RB · (HOU),Team Pancake,,,,
3.7 (31),Le'Veon Bell · RB · (NYJ),Brown Town,,,,
3.8 (32),Austin Ekeler · RB · (LAC),Purple Parade,,,,
3.9 (33),D.J. Moore · WR · (CAR),El Guapo Puto,,,,
3.10 (34),Aaron Jones · RB · (GB),FFUcked Up,,,,
3.11 (35),James Conner · RB · (PIT),Johnkshire Cats,,,,
3.12 (36),Todd Gurley · RB · (ATL),Always Sunny in Camdel...,,,,
4.1 (37),Davante Adams · WR · (GB),Always Sunny in Camdel...,,,,
4.2 (38),Cooper Kupp · WR · (LAR),Johnkshire Cats,,,,
4.3 (39),Allen Robinson · WR · (CHI),FFUcked Up,,,,
4.4 (40),Zach Ertz · TE · (PHI),El Guapo Puto,,,,
4.5 (41),JuJu Smith-Schuster · WR · (PIT),Purple Parade,,,,
4.6 (42),Leonard Fournette · RB · (TB),Brown Town,,,,
4.7 (43),T.Y. Hilton · WR · (IND),Team Pancake,,,,
4.8 (44),Mark Andrews · TE · (BAL),Big Ten Bandits,,,,
4.9 (45),Chris Godwin · WR · (TB),Frank's Little Beauties,,,,
4.10 (46),Keenan Allen · WR · (LAC),Team Black Death,,,,
4.11 (47),Amari Cooper · WR · (DAL),Elm Street Skywalkers,,,,
4.12 (48),Kenny Golladay · WR · (FA),Great Team Name,,,,
5.1 (49),Tyler Lockett · WR · (SEA),Great Team Name,,,,
5.2 (50),Stefon Diggs · WR · (BUF),Elm Street Skywalkers,,,,
5.3 (51),Devin Singletary · RB · (BUF),Team Black Death,,,,
5.4 (52),Calvin Ridley · WR · (ATL),Frank's Little Beauties,,,,
5.5 (53),Tarik Cohen · RB · (CHI),Big Ten Bandits,,,,
5.6 (54),Melvin Gordon · RB · (DEN),Team Pancake,,,,
5.7 (55),Kareem Hunt · RB · (CLE),Brown Town,,,,
5.8 (56),Jarvis Landry · WR · (CLE),Purple Parade,,,,
5.9 (57),A.J. Brown · WR · (TEN),El Guapo Puto,,,,
5.10 (58),Robert Woods · WR · (LAR),FFUcked Up,,,,
5.11 (59),DeVante Parker · WR · (MIA),Johnkshire Cats,,,,
5.12 (60),Odell Beckham · WR · (CLE),Always Sunny in Camdel...,,,,
6.1 (61),Rob Gronkowski · TE · (TB),Always Sunny in Camdel...,,,,
6.2 (62),Mark Ingram · RB · (BAL),Johnkshire Cats,,,,
6.3 (63),Terry McLaurin · WR · (WAS),FFUcked Up,,,,
6.4 (64),Ronald Jones · RB · (TB),El Guapo Puto,,,,
6.5 (65),George Kittle · TE · (SF),Purple Parade,,,,
6.6 (66),Dak Prescott · QB · (DAL),Brown Town,,,,
6.7 (67),A.J. Green · WR · (CIN),Team Pancake,,,,
6.8 (68),Marvin Jones · WR · (DET),Big Ten Bandits,,,,
6.9 (69),Darren Waller · TE · (LV),Frank's Little Beauties,,,,
6.10 (70),Michael Gallup · WR · (DAL),Team Black Death,,,,
6.11 (71),Hayden Hurst · TE · (ATL),Elm Street Skywalkers,,,,
6.12 (72),T.J. Hockenson · TE · (DET),Great Team Name,,,,
7.1 (73),Courtland Sutton · WR · (DEN),Great Team Name,,,,
7.2 (74),Jerry Jeudy · WR · (DEN),Elm Street Skywalkers,,,,
7.3 (75),Phillip Lindsay · RB · (DEN),Team Black Death,,,,
7.4 (76),Jonathan Taylor · RB · (IND),Frank's Little Beauties,,,,
7.5 (77),Emmanuel Sanders · WR · (NO),Big Ten Bandits,,,,
7.6 (78),Julian Edelman · WR · (NE),Team Pancake,,,,
7.7 (79),Jamison Crowder · WR · (NYJ),Brown Town,,,,
7.8 (80),Tyler Boyd · WR · (CIN),Purple Parade,,,,
7.9 (81),Zack Moss · RB · (BUF),El Guapo Puto,,,,
7.10 (82),Cam Akers · RB · (LAR),FFUcked Up,,,,
7.11 (83),D'Andre Swift · RB · (DET),Johnkshire Cats,,,,
7.12 (84),DK Metcalf · WR · (SEA),Always Sunny in Camdel...,,,,
8.1 (85),Raheem Mostert · RB · (SF),Always Sunny in Camdel...,,,,
8.2 (86),Brandin Cooks · WR · (HOU),Johnkshire Cats,,,,
8.3 (87),Chris Herndon · TE · (NYJ),FFUcked Up,,,,
8.4 (88),Preston Williams · WR · (MIA),El Guapo Puto,,,,
8.5 (89),Evan Engram · TE · (NYG),Purple Parade,,,,
8.6 (90),Kerryon Johnson · RB · (DET),Brown Town,,,,
8.7 (91),Marlon Mack · RB · (IND),Team Pancake,,,,
8.8 (92),Tyler Higbee · TE · (LAR),Big Ten Bandits,,,,
8.9 (93),Marquise Brown · WR · (BAL),Frank's Little Beauties,,,,
8.10 (94),Henry Ruggs · WR · (LV),Team Black Death,,,,
8.11 (95),J.K. Dobbins · RB · (BAL),Elm Street Skywalkers,,,,
8.12 (96),D.J. Chark · WR · (JAX),Great Team Name,,,,
9.1 (97),Los Angeles Chargers · DEF · (LAC),Great Team Name,,,,
9.2 (98),Minnesota Vikings · DEF · (MIN),Elm Street Skywalkers,,,,
9.3 (99),Austin Hooper · TE · (CLE),Team Black Death,,,,
9.4 (100),New Orleans Saints · DEF · (NO),Frank's Little Beauties,,,,
9.5 (101),Kyler Murray · QB · (ARI),Big Ten Bandits,,,,
9.6 (102),Alexander Mattison · RB · (MIN),Team Pancake,,,,
9.7 (103),Jared Cook · TE · (NO),Brown Town,,,,
9.8 (104),Baltimore Ravens · DEF · (BAL),Purple Parade,,,,
9.9 (105),Mecole Hardman · WR · (KC),El Guapo Puto,,,,
9.10 (106),Deebo Samuel · WR · (SF),FFUcked Up,,,,
9.11 (107),Anthony Miller · WR · (CHI),Johnkshire Cats,,,,
9.12 (108),Tampa Bay Buccaneers · DEF · (TB),Always Sunny in Camdel...,,,,
10.1 (109),James White · RB · (NE),Always Sunny in Camdel...,,,,
10.2 (110),Hunter Henry · TE · (LAC),Johnkshire Cats,,,,
10.3 (111),Sterling Shepard · WR · (NYG),FFUcked Up,,,,
10.4 (112),Russell Wilson · QB · (SEA),El Guapo Puto,,,,
10.5 (113),John Brown · WR · (BUF),Purple Parade,,,,
10.6 (114),San Francisco 49ers · DEF · (SF),Brown Town,,,,
10.7 (115),Golden Tate · WR · (FA),Team Pancake,,,,
10.8 (116),Curtis Samuel · WR · (CAR),Big Ten Bandits,,,,
10.9 (117),Darius Slayton · WR · (NYG),Frank's Little Beauties,,,,
