Pick,Player,Team,Keeper,Note,Misc,Manage
10.10 (118),Mike Williams · WR · (LAC),Team Black Death,,,,
10.11 (119),Christian Kirk · WR · (ARI),Elm Street Skywalkers,,,,
10.12 (120),Diontae Johnson · WR · (PIT),Great Team Name,,,,
11.1 (121),Will Fuller · WR · (HOU),Great Team Name,,,,
11.2 (122),Jordan Howard · RB · (MIA),Elm Street Skywalkers,,,,
11.3 (123),Chase Edmonds · RB · (ARI),Team Black Death,,,,
11.4 (124),Matt Breida · RB · (MIA),Frank's Little Beauties,,,,
11.5 (125),Matthew Stafford · QB · (DET),Big Ten Bandits,,,,
11.6 (126),Cam Newton · QB · (NE),Team Pancake,,,,
11.7 (127),Justin Jefferson · WR · (MIN),Brown Town,,,,
11.8 (128),Robbie Chosen · WR · (CAR),Purple Parade,,,,
11.9 (129),Noah Fant · TE · (DEN),El Guapo Puto,,,,
11.10 (130),Chicago Bears · DEF · (CHI),FFUcked Up,,,,
11.11 (131),Mike Gesicki · TE · (MIA),Johnkshire Cats,,,,
11.12 (132),CeeDee Lamb · WR · (DAL),Always Sunny in Camdel...,,,,
12.1 (133),Duke Johnson · RB · (HOU),Always Sunny in Camdel...,,,,
12.2 (134),Allen Lazard · WR · (GB),Johnkshire Cats,,,,
12.3 (135),Tevin Coleman · RB · (SF),FFUcked Up,,,,
12.4 (136),Daniel Jones · QB · (NYG),El Guapo Puto,,,,
12.5 (137),Tony Pollard · RB · (DAL),Purple Parade,,,,
12.6 (138),Adrian Peterson · RB · (DET),Brown Town,,,,
12.7 (139),Jack Doyle · TE · (IND),Team Pancake,,,,
12.8 (140),Jamaal Williams · RB · (GB),Big Ten Bandits,,,,
12.9 (141),Jalen Reagor · WR · (PHI),Frank's Little Beauties,,,,
12.10 (142),Buffalo Bills · DEF · (BUF),Team Black Death,,,,
12.11 (143),Justin Jackson · RB · (LAC),Elm Street Skywalkers,,,,
12.12 (144),Nyheim Hines · RB · (IND),Great Team Name,,,,
13.1 (145),Darrell Henderson · RB · (LAR),Great Team Name,,,,
13.2 (146),N'Keal Harry · WR · (NE),Elm Street Skywalkers,,,,
13.3 (147),Carlos Hyde · RB · (SEA),Team Black Death,,,,
13.4 (148),Boston Scott · RB · (PHI),Frank's Little Beauties,,,,
13.5 (149),LeSean McCoy · RB · (TB),Big Ten Bandits,,,,
13.6 (150),Josh Allen · QB · (BUF),Team Pancake,,,,
13.7 (151),Randall Cobb · WR · (HOU),Brown Town,,,,
13.8 (152),Michael Pittman · WR · (IND),Purple Parade,,,,
13.9 (153),Breshad Perriman · WR · (NYJ),El Guapo Puto,,,,
13.10 (154),Latavius Murray · RB · (NO),FFUcked Up,,,,
13.11 (155),Tennessee Titans · DEF · (TEN),Johnkshire Cats,,,,
13.12 (156),Carson Wentz · QB · (PHI),Always Sunny in Camdel...,,,,
14.1 (157),Sammy Watkins · WR · (KC),Always Sunny in Camdel...,,,,
14.2 (158),Matt Ryan · QB · (ATL),Johnkshire Cats,,,,
14.3 (159),Chris Thompson · RB · (JAX),FFUcked Up,,,,
14.4 (160),Indianapolis Colts · DEF · (IND),El Guapo Puto,,,,
14.5 (161),Sony Michel · RB · (NE),Purple Parade,,,,
14.6 (162),Rashaad Penny · RB · (CAR),Brown Town,,,,
14.7 (163),New England Patriots · DEF · (NE),Team Pancake,,,,
14.8 (164),Giovani Bernard · RB · (CIN),Big Ten Bandits,,,,
14.9 (165),Joe Burrow · QB · (CIN),Frank's Little Beauties,,,,
14.10 (166),Derek Carr · QB · (LV),Team Black Death,,,,
14.11 (167),Jared Goff · QB · (LAR),Elm Street Skywalkers,,,,
14.12 (168),Damien Harris · RB · (FA),Great Team Name,,,,
15.1 (169),Ryquell Armstead · RB · (FA),Great Team Name,,,,
15.2 (170),Blake Jarwin · TE · (DAL),Elm Street Skywalkers,,,,
15.3 (171),Cole Beasley · WR · (BUF),Team Black Death,,,,
15.4 (172),Brandon Aiyuk · WR · (SF),Frank's Little Beauties,,,,
15.5 (173),Pittsburgh Steelers · DEF · (PIT),Big Ten Bandits,,,,
15.6 (174),Devine Ozigbo · RB · (FA),Team Pancake,,,,
15.7 (175),Mohamed Sanu · WR · (FA),Brown Town,,,,
15.8 (176),Kirk Cousins · QB · (MIN),Purple Parade,,,,
15.9 (177),Parris Campbell · WR · (IND),El Guapo Puto,,,,
15.10 (178),Ben Roethlisberger · QB · (PIT),FFUcked Up,,,,
15.11 (179),Ryan Tannehill · QB · (TEN),Johnkshire Cats,,,,
15.12 (180),Ke'Shawn Vaughn · RB · (FA),Always Sunny in Camdel...,,,,
