Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Saquon Barkley · RB · (NYG),Gingy Flame,--,--,,Open options
1.2 (2),Christian McCaffrey · RB · (CAR),Team Black Death,--,--,,Open options
1.3 (3),Alvin Kamara · RB · (NO),Great Team Name,--,--,,Open options
1.4 (4),Ezekiel Elliott · RB · (DAL),Elm Street Skywalkers,--,--,,Open options
1.5 (5),DeAndre Hopkins · WR · (HOU),Indianapolis Aztecs,--,--,,Open options
1.6 (6),David Johnson · RB · (ARI),Team Painter Pick 6,--,--,,Open options
1.7 (7),Michael Thomas · WR · (NO),The Losers,--,--,,Open options
1.8 (8),Julio Jones · WR · (ATL),Currier Island Raging ...,--,--,,Open options
1.9 (9),Le'Veon Bell · RB · (NYJ),Team Pancake,--,--,,Open options
1.10 (10),Todd Gurley · RB · (LAR),Speedway's Ritual Cog,--,--,,Open options
1.11 (11),Odell Beckham · WR · (CLE),El Guapo Puto,--,--,,Open options
1.12 (12),Dalvin Cook · RB · (MIN),Naptown Makos,--,--,,Open options
2.1 (13),Patrick Mahomes · QB · (KC),Naptown Makos,--,--,,Open options
2.2 (14),James Conner · RB · (PIT),El Guapo Puto,--,--,,Open options
2.3 (15),Joe Mixon · RB · (CIN),Speedway's Ritual Cog,--,--,,Open options
2.4 (16),Davante Adams · WR · (GB),Team Pancake,--,--,,Open options
2.5 (17),JuJu Smith-Schuster · WR · (PIT),Currier Island Raging ...,--,--,,Open options
2.6 (18),Tyreek Hill · WR · (KC),The Losers,--,--,,Open options
2.7 (19),Travis Kelce · TE · (KC),Team Painter Pick 6,--,--,,Open options
2.8 (20),Nick Chubb · RB · (CLE),Indianapolis Aztecs,--,--,,Open options
2.9 (21),Mike Evans · WR · (TB),Elm Street Skywalkers,--,--,,Open options
2.10 (22),Antonio Brown · WR · (FA),Great Team Name,--,--,,Open options
2.11 (23),Kerryon Johnson · RB · (DET),Team Black Death,--,--,,Open options
2.12 (24),Devonta Freeman · RB · (ATL),Gingy Flame,--,--,,Open options
3.1 (25),Keenan Allen · WR · (LAC),Gingy Flame,--,--,,Open options
3.2 (26),Amari Cooper · WR · (DAL),Team Black Death,--,--,,Open options
3.3 (27),Chris Carson · RB · (SEA),Great Team Name,--,--,,Open options
3.4 (28),Josh Jacobs · RB · (LV),Elm Street Skywalkers,--,--,,Open options
3.5 (29),George Kittle · TE · (SF),Indianapolis Aztecs,--,--,,Open options
3.6 (30),Leonard Fournette · RB · (JAX),Team Painter Pick 6,--,--,,Open options
3.7 (31),Aaron Jones · RB · (GB),The Losers,--,--,,Open options
3.8 (32),Derrick Henry · RB · (TEN),Currier Island Raging ...,--,--,,Open options
3.9 (33),Adam Thielen · WR · (MIN),Team Pancake,--,--,,Open options
3.10 (34),Julian Edelman · WR · (NE),Speedway's Ritual Cog,--,--,,Open options
3.11 (35),Damien Williams · RB · (KC),El Guapo Puto,--,--,,Open options
3.12 (36),Zach Ertz · TE · (PHI),Naptown Makos,--,--,,Open options
4.1 (37),Brandin Cooks · WR · (LAR),Naptown Makos,--,--,,Open options
4.2 (38),Robert Woods · WR · (LAR),El Guapo Puto,--,--,,Open options
4.3 (39),Jared Cook · TE · (NO),Speedway's Ritual Cog,--,--,,Open options
4.4 (40),Melvin Gordon · RB · (FA),Team Pancake,--,--,,Open options
4.5 (41),Mark Ingram · RB · (BAL),Currier Island Raging ...,--,--,,Open options
4.6 (42),Stefon Diggs · WR · (MIN),The Losers,--,--,,Open options
4.7 (43),James White · RB · (NE),Team Painter Pick 6,--,--,,Open options
4.8 (44),Cooper Kupp · WR · (LAR),Indianapolis Aztecs,--,--,,Open options
4.9 (45),Kenny Golladay · WR · (DET),Elm Street Skywalkers,--,--,,Open options
4.10 (46),Sony Michel · RB · (NE),Great Team Name,--,--,,Open options
4.11 (47),Deshaun Watson · QB · (HOU),Team Black Death,--,--,,Open options
4.12 (48),Marlon Mack · RB · (IND),Gingy Flame,--,--,,Open options
5.1 (49),Tyler Lockett · WR · (SEA),Gingy Flame,--,--,,Open options
5.2 (50),Chris Godwin · WR · (TB),Team Black Death,--,--,,Open options
5.3 (51),Mike Williams · WR · (LAC),Great Team Name,--,--,,Open options
5.4 (52),Tyler Boyd · WR · (CIN),Elm Street Skywalkers,--,--,,Open options
5.5 (53),David Montgomery · RB · (CHI),Indianapolis Aztecs,--,--,,Open options
5.6 (54),T.Y. Hilton · WR · (IND),Team Painter Pick 6,--,--,,Open options
5.7 (55),Derrius Guice · RB · (WAS),The Losers,--,--,,Open options
5.8 (56),Alshon Jeffery · WR · (PHI),Currier Island Raging ...,--,--,,Open options
5.9 (57),A.J. Green · WR · (FA),Team Pancake,--,--,,Open options
