Pick,Player,Team,Keeper,Note,Misc,Manage
5.10 (58),D.J. Moore · WR · (CAR),Speedway's Ritual Cog,--,--,,Open options
5.11 (59),Josh Gordon · WR · (NE),El Guapo Puto,--,--,,Open options
5.12 (60),Calvin Ridley · WR · (ATL),Naptown Makos,--,--,,Open options
6.1 (61),Kenyan Drake · RB · (MIA),Naptown Makos,--,--,,Open options
6.2 (62),Trey Burton · TE · (FA),El Guapo Puto,--,--,,Open options
6.3 (63),Allen Robinson · WR · (CHI),Speedway's Ritual Cog,--,--,,Open options
6.4 (64),Austin Ekeler · RB · (LAC),Team Pancake,--,--,,Open options
6.5 (65),Evan Engram · TE · (NYG),Currier Island Raging ...,--,--,,Open options
6.6 (66),Duke Johnson · RB · (HOU),The Losers,--,--,,Open options
6.7 (67),Matt Ryan · QB · (ATL),Team Painter Pick 6,--,--,,Open options
6.8 (68),Dede Westbrook · WR · (JAX),Indianapolis Aztecs,--,--,,Open options
6.9 (69),Phillip Lindsay · RB · (DEN),Elm Street Skywalkers,--,--,,Open options
6.10 (70),Tarik Cohen · RB · (CHI),Great Team Name,--,--,,Open options
6.11 (71),Miles Sanders · RB · (PHI),Team Black Death,--,--,,Open options
6.12 (72),O.J. Howard · TE · (TB),Gingy Flame,--,--,,Open options
7.1 (73),Robbie Chosen · WR · (NYJ),Gingy Flame,--,--,,Open options
7.2 (74),Vance McDonald · TE · (PIT),Team Black Death,--,--,,Open options
7.3 (75),Jarvis Landry · WR · (CLE),Great Team Name,--,--,,Open options
7.4 (76),Baker Mayfield · QB · (CLE),Elm Street Skywalkers,--,--,,Open options
7.5 (77),Tevin Coleman · RB · (SF),Indianapolis Aztecs,--,--,,Open options
7.6 (78),Sammy Watkins · WR · (KC),Team Painter Pick 6,--,--,,Open options
7.7 (79),Will Fuller · WR · (HOU),The Losers,--,--,,Open options
7.8 (80),Aaron Rodgers · QB · (GB),Currier Island Raging ...,--,--,,Open options
7.9 (81),Hunter Henry · TE · (LAC),Team Pancake,--,--,,Open options
7.10 (82),Royce Freeman · RB · (DEN),Speedway's Ritual Cog,--,--,,Open options
7.11 (83),Sterling Shepard · WR · (NYG),El Guapo Puto,--,--,,Open options
7.12 (84),Marvin Jones · WR · (DET),Naptown Makos,--,--,,Open options
8.1 (85),Cam Newton · QB · (CAR),Naptown Makos,--,--,,Open options
8.2 (86),Tom Brady · QB · (NE),El Guapo Puto,--,--,,Open options
8.3 (87),Corey Davis · WR · (TEN),Speedway's Ritual Cog,--,--,,Open options
8.4 (88),Emmanuel Sanders · WR · (DEN),Team Pancake,--,--,,Open options
8.5 (89),Peyton Barber · RB · (TB),Currier Island Raging ...,--,--,,Open options
8.6 (90),Latavius Murray · RB · (NO),The Losers,--,--,,Open options
8.7 (91),Larry Fitzgerald · WR · (ARI),Team Painter Pick 6,--,--,,Open options
8.8 (92),Curtis Samuel · WR · (CAR),Indianapolis Aztecs,--,--,,Open options
8.9 (93),Austin Hooper · TE · (ATL),Elm Street Skywalkers,--,--,,Open options
8.10 (94),Rashaad Penny · RB · (SEA),Great Team Name,--,--,,Open options
8.11 (95),Christian Kirk · WR · (ARI),Team Black Death,--,--,,Open options
8.12 (96),Carson Wentz · QB · (PHI),Gingy Flame,--,--,,Open options
9.1 (97),Marquez Valdes-Scantling · WR · (GB),Gingy Flame,--,--,,Open options
9.2 (98),Jordan Howard · RB · (PHI),Team Black Death,--,--,,Open options
9.3 (99),Matt Breida · RB · (SF),Great Team Name,--,--,,Open options
9.4 (100),James Washington · WR · (PIT),Elm Street Skywalkers,--,--,,Open options
9.5 (101),Courtland Sutton · WR · (DEN),Indianapolis Aztecs,--,--,,Open options
9.6 (102),Chicago Bears · DEF · (CHI),Team Painter Pick 6,--,--,,Open options
9.7 (103),Darwin Thompson · RB · (KC),The Losers,--,--,,Open options
9.8 (104),David Njoku · TE · (CLE),Currier Island Raging ...,--,--,,Open options
9.9 (105),Jamison Crowder · WR · (NYJ),Team Pancake,--,--,,Open options
9.10 (106),Greg Olsen · TE · (CAR),Speedway's Ritual Cog,--,--,,Open options
9.11 (107),Ronald Jones · RB · (TB),El Guapo Puto,--,--,,Open options
9.12 (108),Los Angeles Rams · DEF · (LAR),Naptown Makos,--,--,,Open options
10.1 (109),Donte Moncrief · WR · (PIT),Naptown Makos,--,--,,Open options
10.2 (110),Dante Pettis · WR · (SF),El Guapo Puto,--,--,,Open options
10.3 (111),Michael Gallup · WR · (DAL),Speedway's Ritual Cog,--,--,,Open options
10.4 (112),Geronimo Allison · WR · (FA),Team Pancake,--,--,,Open options
10.5 (113),Drew Brees · QB · (NO),Currier Island Raging ...,--,--,,Open options
10.6 (114),Russell Wilson · QB · (SEA),The Losers,--,--,,Open options
10.7 (115),Delanie Walker · TE · (TEN),Team Painter Pick 6,--,--,,Open options
10.8 (116),Tony Pollard · RB · (DAL),Indianapolis Aztecs,--,--,,Open options
10.9 (117),LeSean McCoy · RB · (KC),Elm Street Skywalkers,--,--,,Open options
10.10 (118),Anthony Miller · WR · (CHI),Great Team Name,--,--,,Open options
10.11 (119),Jacksonville Jaguars · DEF · (JAX),Team Black Death,--,--,,Open options
10.12 (120),Darrell Henderson · RB · (LAR),Gingy Flame,--,--,,Open options
11.1 (121),Dion Lewis · RB · (TEN),Gingy Flame,--,--,,Open options
11.2 (122),DeSean Jackson · WR · (PHI),Team Black Death,--,--,,Open options
11.3 (123),Lamar Jackson · QB · (BAL),Great Team Name,--,--,,Open options
11.4 (124),T.J. Hockenson · TE · (DET),Elm Street Skywalkers,--,--,,Open options
11.5 (125),Adrian Peterson · RB · (FA),Indianapolis Aztecs,--,--,,Open options
11.6 (126),DK Metcalf · WR · (SEA),Team Painter Pick 6,--,--,,Open options
11.7 (127),Tyrell Williams · WR · (LV),The Losers,--,--,,Open options
11.8 (128),Kenny Stills · WR · (HOU),Currier Island Raging ...,--,--,,Open options
11.9 (129),Ben Roethlisberger · QB · (PIT),Team Pancake,--,--,,Open options
11.10 (130),Adam Humphries · WR · (TEN),Speedway's Ritual Cog,--,--,,Open options
11.11 (131),Kyler Murray · QB · (ARI),El Guapo Puto,--,--,,Open options
11.12 (132),Justin Tucker · K · (BAL),Naptown Makos,--,--,,Open options
12.1 (133),Devin Singletary · RB · (BUF),Naptown Makos,--,--,,Open options
12.2 (134),Albert Wilson · WR · (MIA),El Guapo Puto,--,--,,Open options
12.3 (135),Jared Goff · QB · (LAR),Speedway's Ritual Cog,--,--,,Open options
12.4 (136),Minnesota Vikings · DEF · (MIN),Team Pancake,--,--,,Open options
12.5 (137),New England Patriots · DEF · (NE),Currier Island Raging ...,--,--,,Open options
12.6 (138),Mitchell Trubisky · QB · (CHI),The Losers,--,--,,Open options
12.7 (139),Greg Zuerlein · K · (LAR),Team Painter Pick 6,--,--,,Open options
12.8 (140),Jameis Winston · QB · (TB),Indianapolis Aztecs,--,--,,Open options
12.9 (141),Los Angeles Chargers · DEF · (LAC),Elm Street Skywalkers,--,--,,Open options
12.10 (142),Mark Andrews · TE · (BAL),Great Team Name,--,--,,Open options
12.11 (143),Wil Lutz · K · (NO),Team Black Death,--,--,,Open options
12.12 (144),Eric Ebron · TE · (IND),Gingy Flame,--,--,,Open options
13.1 (145),Stephen Gostkowski · K · (NE),Gingy Flame,--,--,,Open options
13.2 (146),Kyle Rudolph · TE · (MIN),Team Black Death,--,--,,Open options
13.3 (147),Keke Coutee · WR · (FA),Great Team Name,--,--,,Open options
13.4 (148),Golden Tate · WR · (FA),Elm Street Skywalkers,--,--,,Open options
13.5 (149),Kalen Ballage · RB · (MIA),Indianapolis Aztecs,--,--,,Open options
13.6 (150),Mohamed Sanu · WR · (ATL),Team Painter Pick 6,--,--,,Open options
13.7 (151),Jimmy Graham · TE · (GB),The Losers,--,--,,Open options
13.8 (152),Harrison Butker · K · (KC),Currier Island Raging ...,--,--,,Open options
13.9 (153),Nyheim Hines · RB · (IND),Team Pancake,--,--,,Open options
13.10 (154),Philadelphia Eagles · DEF · (PHI),Speedway's Ritual Cog,--,--,,Open options
13.11 (155),N'Keal Harry · WR · (MIN),El Guapo Puto,--,--,,Open options
13.12 (156),Giovani Bernard · RB · (CIN),Naptown Makos,--,--,,Open options
14.1 (157),Jack Doyle · TE · (IND),Naptown Makos,--,--,,Open options
14.2 (158),Indianapolis Colts · DEF · (IND),El Guapo Puto,--,--,,Open options
14.3 (159),Ka'imi Fairbairn · K · (HOU),Speedway's Ritual Cog,--,--,,Open options
14.4 (160),Josh Allen · QB · (BUF),Team Pancake,--,--,,Open options
14.5 (161),Jalen Richard · RB · (LV),Currier Island Raging ...,--,--,,Open options
14.6 (162),Seattle Seahawks · DEF · (SEA),The Losers,--,--,,Open options
14.7 (163),C.J. Anderson · RB · (DET),Team Painter Pick 6,--,--,,Open options
14.8 (164),Roberto Aguayo · K · (FA),Indianapolis Aztecs,--,--,,Open options
14.9 (165),Jake Elliott · K · (PHI),Elm Street Skywalkers,--,--,,Open options
14.10 (166),Denver Broncos · DEF · (DEN),Great Team Name,--,--,,Open options
14.11 (167),Dak Prescott · QB · (DAL),Team Black Death,--,--,,Open options
14.12 (168),Baltimore Ravens · DEF · (BAL),Gingy Flame,--,--,,Open options
15.1 (169),Philip Rivers · QB · (LAC),Gingy Flame,--,--,,Open options
15.2 (170),Kareem Hunt · RB · (KC),Team Black Death,--,--,,Open options
15.3 (171),Robbie Gould · K · (SF),Great Team Name,--,--,,Open options
15.4 (172),Kirk Cousins · QB · (MIN),Elm Street Skywalkers,--,--,,Open options
15.5 (173),Arizona Cardinals · DEF · (ARI),Indianapolis Aztecs,--,--,,Open options
15.6 (174),Carlos Hyde · RB · (HOU),Team Painter Pick 6,--,--,,Open options
15.7 (175),Jason Myers · K · (SEA),The Losers,--,--,,Open options
15.8 (176),New Orleans Saints · DEF · (NO),Currier Island Raging ...,--,--,,Open options
15.9 (177),Aldrick Rosas · K · (NYG),Team Pancake,--,--,,Open options
15.10 (178),Jaylen Samuels · RB · (PIT),Speedway's Ritual Cog,--,--,,Open options
15.11 (179),Mike Nugent · K · (FA),El Guapo Puto,--,--,,Open options
15.12 (180),Michael Crabtree · WR · (FA),Naptown Makos,--,--,,
