Team,Member,Rival,Record,Points Scored,Points Against,Inseason Rank,Final Rank,Misc,Manage
Currier Island Raging Rhinos,rhinos,---,9-4,"1,561.15","1,393.30",3,1,,Open options
Indianapolis Aztecs,aztecs,---,10-3,"1,441.70","1,353.85",2,2,,Open options
Naptown Makos,makos,---,10-3,"1,463.80","1,168.95",1,3,,Open options
Speedway's Ritual Cog,cog,---,7-6,"1,315.40","1,394.75",7,4,,Open options
Team Painter Pick 6,picks,---,7-6,"1,499.75","1,473.85",5,5,,Open options
Team Black Death,blackdeath,---,7-6,"1,605.50","1,451.90",4,6,,Open options
Great Team Name,jacamart,---,6-7,"1,494.30","1,461.95",8,7,,Open options
The Losers,losers,---,5-8,"1,541.70","1,382.85",9,8,,Open options
Gingy Flame,flame,---,4-9,"1,321.85","1,722.65",10,9,,Open options
Elm Street Skywalkers,tcool,---,7-6,"1,415.20","1,389.30",6,10,,Open options
El Guapo Puto,guapo,---,2-11,"1,161.15","1,394.50",12,11,,Open options
Team Pancake,pancake,---,4-9,"1,272.35","1,506.00",11,12,,Open options
