Pick,Player,Team,Keeper,Note,Misc,Manage
7.4 (76),Andrew Luck · QB · (IND),Team Dogecoin,--,--,,Open options
7.5 (77),Cam Newton · QB · (CAR),The Well Done Stakes,--,--,,Open options
7.6 (78),Devin Funchess · TE · (CAR),Team Black Death,--,--,,Open options
7.7 (79),Carson Wentz · QB · (KC),Stark Direwolves,--,--,,Open options
7.8 (80),Deshaun Watson · QB · (HOU),Team Team Casa,--,--,,Open options
7.9 (81),Russell Wilson · QB · (SEA),Goat Emoji,--,--,,Open options
7.10 (82),Chris Thompson · RB · (WAS),Gingy Flame,--,--,,Open options
7.11 (83),Evan Engram · TE · (NYG),Speedway's Ritual Cog,--,--,,Open options
7.12 (84),Jacksonville Jaguars · DEF · (JAX),Team Painter Pick 6,--,--,,Open options
8.1 (85),Will Fuller · WR · (FA),Team Painter Pick 6,--,--,,Open options
8.2 (86),Robbie Chosen · WR · (NYJ),Speedway's Ritual Cog,--,--,,Open options
8.3 (87),Rashaad Penny · RB · (SEA),Gingy Flame,--,--,,Open options
8.4 (88),Ronald Jones · RB · (FA),Goat Emoji,--,--,,Open options
8.5 (89),Tarik Cohen · RB · (CHI),Team Team Casa,--,--,,Open options
8.6 (90),Kyle Rudolph · TE · (MIN),Stark Direwolves,--,--,,Open options
8.7 (91),Jordan Reed · TE · (WAS),Team Black Death,--,--,,Open options
8.8 (92),Cooper Kupp · WR · (LAR),The Well Done Stakes,--,--,,Open options
8.9 (93),Los Angeles Rams · DEF · (LAR),Team Dogecoin,--,--,,Open options
8.10 (94),Jamaal Williams · RB · (GB),Oklahoma Banana Bread,--,--,,Open options
8.11 (95),Sterling Shepard · WR · (NYG),Great Team Name,--,--,,Open options
8.12 (96),Adrian Peterson · RB · (WAS),CreamOfTheCrop Macho Men,--,--,,Open options
9.1 (97),Jordy Nelson · WR · (LV),CreamOfTheCrop Macho Men,--,--,,Open options
9.2 (98),Peyton Barber · RB · (TB),Great Team Name,--,--,,Open options
9.3 (99),Jamison Crowder · WR · (WAS),Oklahoma Banana Bread,--,--,,Open options
9.4 (100),Allen Hurns · WR · (DAL),Team Dogecoin,--,--,,Open options
9.5 (101),Chris Carson · RB · (SEA),The Well Done Stakes,--,--,,Open options
9.6 (102),Kirk Cousins · QB · (MIN),Team Black Death,--,--,,Open options
9.7 (103),Calvin Ridley · WR · (ATL),Stark Direwolves,--,--,,Open options
9.8 (104),Greg Zuerlein · K · (LAR),Team Team Casa,--,--,,Open options
9.9 (105),Trey Burton · TE · (CHI),Goat Emoji,--,--,,Open options
9.10 (106),Nelson Agholor · WR · (PHI),Gingy Flame,--,--,,Open options
9.11 (107),Kelvin Benjamin · TE · (BUF),Speedway's Ritual Cog,--,--,,Open options
9.12 (108),Josh Doctson · WR · (WAS),Team Painter Pick 6,--,--,,Open options
10.1 (109),DeVante Parker · WR · (FA),Team Painter Pick 6,--,--,,Open options
10.2 (110),Sony Michel · RB · (FA),Speedway's Ritual Cog,--,--,,Open options
10.3 (111),Matthew Stafford · QB · (DET),Gingy Flame,--,--,,Open options
10.4 (112),Marlon Mack · RB · (ARI),Goat Emoji,--,--,,Open options
10.5 (113),Philadelphia Eagles · DEF · (PHI),Team Team Casa,--,--,,Open options
10.6 (114),Giovani Bernard · RB · (CIN),Stark Direwolves,--,--,,Open options
10.7 (115),Ty Montgomery · RB · (GB),Team Black Death,--,--,,Open options
10.8 (116),James White · RB · (NE),The Well Done Stakes,--,--,,Open options
10.9 (117),Anthony Miller · WR · (CHI),Team Dogecoin,--,--,,Open options
10.10 (118),Kenny Golladay · WR · (NYJ),Oklahoma Banana Bread,--,--,,Open options
10.11 (119),Cameron Meredith · WR · (FA),Great Team Name,--,--,,Open options
10.12 (120),Houston Texans · DEF · (HOU),CreamOfTheCrop Macho Men,--,--,,Open options
11.1 (121),Mohamed Sanu · WR · (ATL),CreamOfTheCrop Macho Men,--,--,,Open options
11.2 (122),David Njoku · TE · (CLE),Great Team Name,--,--,,Open options
11.3 (123),Minnesota Vikings · DEF · (MIN),Oklahoma Banana Bread,--,--,,Open options
11.4 (124),Stephen Gostkowski · K · (NE),Team Dogecoin,--,--,,Open options
11.5 (125),Kenny Stills · WR · (MIA),The Well Done Stakes,--,--,,Open options
11.6 (126),Baltimore Ravens · DEF · (BAL),Team Black Death,--,--,,Open options
11.7 (127),Jared Cook · TE · (LV),Stark Direwolves,--,--,,Open options
11.8 (128),Marqise Lee · WR · (FA),Team Team Casa,--,--,,Open options
11.9 (129),Keelan Cole · WR · (JAX),Goat Emoji,--,--,,Open options
11.10 (130),George Kittle · TE · (SF),Gingy Flame,--,--,,Open options
11.11 (131),Ben Roethlisberger · QB · (PIT),Speedway's Ritual Cog,--,--,,Open options
11.12 (132),Paul Richardson · WR · (WAS),Team Painter Pick 6,--,--,,Open options
12.1 (133),Drew Brees · QB · (NO),Team Painter Pick 6,--,--,,Open options
12.2 (134),Tyler Lockett · WR · (SEA),Speedway's Ritual Cog,--,--,,Open options
12.3 (135),Los Angeles Chargers · DEF · (LAC),Gingy Flame,--,--,,Open options
12.4 (136),New England Patriots · DEF · (NE),Goat Emoji,--,--,,Open options
