Pick,Player,Team,Keeper,Note,Misc,Manage
8.12 (96),Josh Doctson · WR · (WAS),FFUcked Up,--,--,,
9.1 (97),Andrew Luck · QB · (IND),FFUcked Up,--,--,,
9.2 (98),Will Fuller · WR · (FA),The Minutemen,--,--,,
9.3 (99),Ronald Jones · RB · (FA),The Stallions,--,--,,
9.4 (100),Marlon Mack · RB · (ARI),Disney's PigskinSlingers,--,--,,
9.5 (101),Jamaal Williams · RB · (GB),"Blood, Sweat and Beers",--,--,,
9.6 (102),Trey Burton · TE · (CHI),Durham Actually Ugly D...,--,--,,
9.7 (103),Ty Montgomery · RB · (GB),El Guapo Puto,--,--,,
9.8 (104),Kyle Rudolph · TE · (MIN),The Losers,--,--,,
9.9 (105),DeVante Parker · WR · (FA),Bailando Cabras,--,--,,
9.10 (106),Jack Doyle · TE · (IND),Indianapolis Aztecs,--,--,,
9.11 (107),Los Angeles Rams · DEF · (LAR),Not Your Average Joes,--,--,,
9.12 (108),Philadelphia Eagles · DEF · (PHI),Currier Island Raging ...,--,--,,
10.1 (109),Matt Ryan · QB · (ATL),Currier Island Raging ...,--,--,,
10.2 (110),Stephen Gostkowski · K · (NE),Not Your Average Joes,--,--,,
10.3 (111),Kenny Stills · WR · (MIA),Indianapolis Aztecs,--,--,,
10.4 (112),James White · RB · (NE),Bailando Cabras,--,--,,
10.5 (113),Jordy Nelson · WR · (LV),The Losers,--,--,,
10.6 (114),Mohamed Sanu · WR · (ATL),El Guapo Puto,--,--,,
10.7 (115),Kenny Golladay · WR · (NYJ),Durham Actually Ugly D...,--,--,,
10.8 (116),Nelson Agholor · WR · (PHI),"Blood, Sweat and Beers",--,--,,
10.9 (117),Theo Riddick · RB · (DET),Disney's PigskinSlingers,--,--,,
10.10 (118),Mike Williams · WR · (LAC),The Stallions,--,--,,
10.11 (119),Tyler Lockett · WR · (SEA),The Minutemen,--,--,,
10.12 (120),Allen Hurns · WR · (DAL),FFUcked Up,--,--,,
11.1 (121),Adrian Peterson · RB · (WAS),FFUcked Up,--,--,,
11.2 (122),Devontae Booker · RB · (DEN),The Minutemen,--,--,,
11.3 (123),Matthew Stafford · QB · (DET),The Stallions,--,--,,
11.4 (124),Cameron Meredith · WR · (FA),Disney's PigskinSlingers,--,--,,
11.5 (125),C.J. Anderson · RB · (CAR),"Blood, Sweat and Beers",--,--,,
11.6 (126),Aaron Jones · RB · (MIN),Durham Actually Ugly D...,--,--,,
11.7 (127),New England Patriots · DEF · (NE),El Guapo Puto,--,--,,
11.8 (128),Kelvin Benjamin · TE · (BUF),The Losers,--,--,,
11.9 (129),John Ross · WR · (CIN),Bailando Cabras,--,--,,
11.10 (130),Nick Chubb · RB · (CLE),Indianapolis Aztecs,--,--,,
11.11 (131),Giovani Bernard · RB · (CIN),Not Your Average Joes,--,--,,
11.12 (132),David Njoku · TE · (CLE),Currier Island Raging ...,--,--,,
12.1 (133),Greg Zuerlein · K · (LAR),Currier Island Raging ...,--,--,,
12.2 (134),Rishard Matthews · WR · (FA),Not Your Average Joes,--,--,,
12.3 (135),Chris Godwin · WR · (TB),Indianapolis Aztecs,--,--,,
12.4 (136),Corey Clement · RB · (PHI),Bailando Cabras,--,--,,
12.5 (137),Jordan Wilkins · RB · (IND),The Losers,--,--,,
12.6 (138),Doug Martin · RB · (LV),El Guapo Puto,--,--,,
12.7 (139),Keelan Cole · WR · (JAX),Durham Actually Ugly D...,--,--,,
12.8 (140),D.J. Moore · WR · (DAL),"Blood, Sweat and Beers",--,--,,
12.9 (141),Chris Boswell · K · (PIT),Disney's PigskinSlingers,--,--,,
12.10 (142),Calvin Ridley · WR · (ATL),The Stallions,--,--,,
12.11 (143),Minnesota Vikings · DEF · (MIN),The Minutemen,--,--,,
12.12 (144),Houston Texans · DEF · (HOU),FFUcked Up,--,--,,
13.1 (145),Justin Tucker · K · (BAL),FFUcked Up,--,--,,
13.2 (146),Bilal Powell · RB · (NYJ),The Minutemen,--,--,,
13.3 (147),Baltimore Ravens · DEF · (BAL),The Stallions,--,--,,
13.4 (148),DeSean Jackson · WR · (TB),Disney's PigskinSlingers,--,--,,
13.5 (149),Latavius Murray · RB · (MIN),"Blood, Sweat and Beers",--,--,,
13.6 (150),Philip Rivers · QB · (LAC),Durham Actually Ugly D...,--,--,,
13.7 (151),Anthony Miller · WR · (CHI),El Guapo Puto,--,--,,
13.8 (152),Dez Bryant · WR · (FA),The Losers,--,--,,
13.9 (153),Denver Broncos · DEF · (DEN),Bailando Cabras,--,--,,
13.10 (154),Austin Ekeler · RB · (LAC),Indianapolis Aztecs,--,--,,
13.11 (155),Donte Moncrief · WR · (JAX),Not Your Average Joes,--,--,,
13.12 (156),Danny Amendola · WR · (MIA),Currier Island Raging ...,--,--,,
14.1 (157),Jared Cook · TE · (LV),Currier Island Raging ...,--,--,,
14.2 (158),Michael Gallup · WR · (DAL),Not Your Average Joes,--,--,,
14.3 (159),Matt Bryant · K · (ATL),Indianapolis Aztecs,--,--,,
14.4 (160),Jake Elliott · K · (PHI),Bailando Cabras,--,--,,
14.5 (161),Wil Lutz · K · (NO),The Losers,--,--,,
14.6 (162),John Brown · WR · (BAL),El Guapo Puto,--,--,,
14.7 (163),Los Angeles Chargers · DEF · (LAC),Durham Actually Ugly D...,--,--,,
14.8 (164),Matt Prater · K · (DET),"Blood, Sweat and Beers",--,--,,
14.9 (165),T.J. Yeldon · RB · (JAX),Disney's PigskinSlingers,--,--,,
14.10 (166),Rob Kelley · RB · (WAS),The Stallions,--,--,,
14.11 (167),George Kittle · TE · (SF),The Minutemen,--,--,,
14.12 (168),Christian Kirk · WR · (ARI),FFUcked Up,--,--,,
15.1 (169),Nyheim Hines · RB · (IND),FFUcked Up,--,--,,
15.2 (170),Mason Crosby · K · (GB),The Minutemen,--,--,,
15.3 (171),Robbie Gould · K · (SF),The Stallions,--,--,,
15.4 (172),Jimmy Garoppolo · QB · (SF),Disney's PigskinSlingers,--,--,,
15.5 (173),New Orleans Saints · DEF · (NO),"Blood, Sweat and Beers",--,--,,
15.6 (174),Adam Vinatieri · K · (IND),Durham Actually Ugly D...,--,--,,
15.7 (175),Harrison Butker · K · (KC),El Guapo Puto,--,--,,
15.8 (176),Seattle Seahawks · DEF · (SEA),The Losers,--,--,,
15.9 (177),Javorius Allen · RB · (BAL),Bailando Cabras,--,--,,
15.10 (178),Tennessee Titans · DEF · (TEN),Indianapolis Aztecs,--,--,,
15.11 (179),Alex Smith · QB · (WAS),Not Your Average Joes,--,--,,
15.12 (180),Las Vegas Raiders · DEF · (LV),Currier Island Raging ...,--,--,,
