Pick,Player,Team,Keeper,Note,Misc,Manage
1.1 (1),Todd Gurley · RB · (LAR),FFUcked Up,--,--,,
1.2 (2),David Johnson · RB · (ARI),The Minutemen,--,--,,
1.3 (3),Le'Veon Bell · RB · (FA),The Stallions,--,--,,
1.4 (4),Alvin Kamara · RB · (NO),Disney's PigskinSlingers,--,--,,
1.5 (5),Ezekiel Elliott · RB · (DAL),"Blood, Sweat and Beers",--,--,,
1.6 (6),Antonio Brown · WR · (PIT),Durham Actually Ugly D...,--,--,,
1.7 (7),Kareem Hunt · RB · (KC),El Guapo Puto,--,--,,
1.8 (8),Saquon Barkley · RB · (NYG),The Losers,--,--,,
1.9 (9),DeAndre Hopkins · WR · (HOU),Bailando Cabras,--,--,,
1.10 (10),Odell Beckham · WR · (NYG),Indianapolis Aztecs,--,--,,
1.11 (11),Julio Jones · WR · (ATL),Not Your Average Joes,--,--,,
1.12 (12),Leonard Fournette · RB · (JAX),Currier Island Raging ...,--,--,,
2.1 (13),A.J. Green · WR · (CIN),Currier Island Raging ...,--,--,,
2.2 (14),Dalvin Cook · RB · (MIN),Not Your Average Joes,--,--,,
2.3 (15),Melvin Gordon · RB · (LAC),Indianapolis Aztecs,--,--,,
2.4 (16),Christian McCaffrey · RB · (CAR),Bailando Cabras,--,--,,
2.5 (17),Devonta Freeman · RB · (ATL),The Losers,--,--,,
2.6 (18),Rob Gronkowski · TE · (NE),El Guapo Puto,--,--,,
2.7 (19),Keenan Allen · WR · (LAC),Durham Actually Ugly D...,--,--,,
2.8 (20),Michael Thomas · WR · (NO),"Blood, Sweat and Beers",--,--,,
2.9 (21),Davante Adams · WR · (GB),Disney's PigskinSlingers,--,--,,
2.10 (22),Jerick McKinnon · RB · (FA),The Stallions,--,--,,
2.11 (23),Stefon Diggs · WR · (MIN),The Minutemen,--,--,,
2.12 (24),Travis Kelce · TE · (KC),FFUcked Up,--,--,,
3.1 (25),Jordan Howard · RB · (CHI),FFUcked Up,--,--,,
3.2 (26),Alex Collins · RB · (BAL),The Minutemen,--,--,,
3.3 (27),Joe Mixon · RB · (CIN),The Stallions,--,--,,
3.4 (28),Zach Ertz · TE · (PHI),Disney's PigskinSlingers,--,--,,
3.5 (29),LeSean McCoy · RB · (BUF),"Blood, Sweat and Beers",--,--,,
3.6 (30),T.Y. Hilton · WR · (IND),Durham Actually Ugly D...,--,--,,
3.7 (31),Adam Thielen · WR · (MIN),El Guapo Puto,--,--,,
3.8 (32),Demaryius Thomas · WR · (DEN),The Losers,--,--,,
3.9 (33),Allen Robinson · WR · (CHI),Bailando Cabras,--,--,,
3.10 (34),Tyreek Hill · WR · (KC),Indianapolis Aztecs,--,--,,
3.11 (35),Larry Fitzgerald · WR · (ARI),Not Your Average Joes,--,--,,
3.12 (36),Kenyan Drake · RB · (MIA),Currier Island Raging ...,--,--,,
4.1 (37),Amari Cooper · WR · (LV),Currier Island Raging ...,--,--,,
4.2 (38),Derrick Henry · RB · (TEN),Not Your Average Joes,--,--,,
4.3 (39),Royce Freeman · RB · (DEN),Indianapolis Aztecs,--,--,,
4.4 (40),Marshawn Lynch · RB · (LV),Bailando Cabras,--,--,,
4.5 (41),Mike Evans · WR · (TB),The Losers,--,--,,
4.6 (42),Josh Gordon · WR · (CLE),El Guapo Puto,--,--,,
4.7 (43),Mark Ingram · RB · (FA),Durham Actually Ugly D...,--,--,,
4.8 (44),Aaron Rodgers · QB · (GB),"Blood, Sweat and Beers",--,--,,
4.9 (45),Cam Newton · QB · (CAR),Disney's PigskinSlingers,--,--,,
4.10 (46),Doug Baldwin · WR · (SEA),The Stallions,--,--,,
4.11 (47),Lamar Miller · RB · (HOU),The Minutemen,--,--,,
4.12 (48),Jarvis Landry · WR · (CLE),FFUcked Up,--,--,,
5.1 (49),JuJu Smith-Schuster · WR · (PIT),FFUcked Up,--,--,,
5.2 (50),Golden Tate · WR · (DET),The Minutemen,--,--,,
5.3 (51),Brandin Cooks · WR · (LAR),The Stallions,--,--,,
5.4 (52),Jay Ajayi · RB · (PHI),Disney's PigskinSlingers,--,--,,
5.5 (53),Marvin Jones · WR · (DET),"Blood, Sweat and Beers",--,--,,
5.6 (54),Dion Lewis · RB · (TEN),Durham Actually Ugly D...,--,--,,
5.7 (55),Tom Brady · QB · (NE),El Guapo Puto,--,--,,
5.8 (56),Chris Hogan · WR · (NE),The Losers,--,--,,
5.9 (57),Emmanuel Sanders · WR · (DEN),Bailando Cabras,--,--,,
5.10 (58),Corey Davis · WR · (TEN),Indianapolis Aztecs,--,--,,
5.11 (59),Alshon Jeffery · WR · (FA),Not Your Average Joes,--,--,,
5.12 (60),Jimmy Graham · TE · (GB),Currier Island Raging ...,--,--,,
6.1 (61),Carson Wentz · QB · (KC),Currier Island Raging ...,--,--,,
6.2 (62),Robert Woods · WR · (LAR),Not Your Average Joes,--,--,,
6.3 (63),Marquise Goodwin · WR · (SF),Indianapolis Aztecs,--,--,,
6.4 (64),Chris Carson · RB · (SEA),Bailando Cabras,--,--,,
6.5 (65),Russell Wilson · QB · (SEA),The Losers,--,--,,
6.6 (66),Tevin Coleman · RB · (ATL),El Guapo Puto,--,--,,
6.7 (67),Duke Johnson · RB · (CLE),Durham Actually Ugly D...,--,--,,
6.8 (68),Greg Olsen · TE · (CAR),"Blood, Sweat and Beers",--,--,,
6.9 (69),Sammy Watkins · WR · (KC),Disney's PigskinSlingers,--,--,,
6.10 (70),Delanie Walker · TE · (TEN),The Stallions,--,--,,
6.11 (71),Michael Crabtree · WR · (BAL),The Minutemen,--,--,,
6.12 (72),Isaiah Crowell · RB · (NYJ),FFUcked Up,--,--,,
7.1 (73),Chris Thompson · RB · (WAS),FFUcked Up,--,--,,
7.2 (74),Rex Burkhead · RB · (NE),The Minutemen,--,--,,
7.3 (75),Kerryon Johnson · RB · (DET),The Stallions,--,--,,
7.4 (76),Pierre Garcon · WR · (SF),Disney's PigskinSlingers,--,--,,
7.5 (77),Carlos Hyde · RB · (CLE),"Blood, Sweat and Beers",--,--,,
7.6 (78),Cooper Kupp · WR · (LAR),Durham Actually Ugly D...,--,--,,
7.7 (79),Devin Funchess · TE · (CAR),El Guapo Puto,--,--,,
7.8 (80),Randall Cobb · WR · (GB),The Losers,--,--,,
7.9 (81),Evan Engram · TE · (NYG),Bailando Cabras,--,--,,
7.10 (82),Deshaun Watson · QB · (HOU),Indianapolis Aztecs,--,--,,
7.11 (83),Jordan Reed · TE · (WAS),Not Your Average Joes,--,--,,
7.12 (84),Sterling Shepard · WR · (NYG),Currier Island Raging ...,--,--,,
8.1 (85),Tarik Cohen · RB · (CHI),Currier Island Raging ...,--,--,,
8.2 (86),Ben Roethlisberger · QB · (PIT),Not Your Average Joes,--,--,,
8.3 (87),Peyton Barber · RB · (TB),Indianapolis Aztecs,--,--,,
8.4 (88),Drew Brees · QB · (NO),Bailando Cabras,--,--,,
8.5 (89),Rashaad Penny · RB · (SEA),The Losers,--,--,,
8.6 (90),Jamison Crowder · WR · (WAS),El Guapo Puto,--,--,,
8.7 (91),Sony Michel · RB · (FA),Durham Actually Ugly D...,--,--,,
8.8 (92),Robbie Chosen · WR · (NYJ),"Blood, Sweat and Beers",--,--,,
8.9 (93),Jacksonville Jaguars · DEF · (JAX),Disney's PigskinSlingers,--,--,,
8.10 (94),Julian Edelman · WR · (FA),The Stallions,--,--,,
8.11 (95),Kirk Cousins · QB · (MIN),The Minutemen,--,--,,
